	Unnamed: 0	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id	mode
9	9	monteverdi_madrigals	4-19	1609.1691322587767	1603	d	i	5.0	-4.0	6	-5	5	-3	[-4]	[[-2]]	-4.0	0.081081081081081	[0, -3]	0.6594594594594595	[]	0.0648648648648648	9.0	11	8	2	10	minor
10	10	monteverdi_madrigals	4-20	1609.1691322587767	1603	d	i	5.0	-4.0	6	-5	5	-3	[-4]	[[-2]]	-4.0	0.081081081081081	[0, -3]	0.6594594594594595	[]	0.0648648648648648	9.0	11	8	2	11	minor
12	12	monteverdi_madrigals	5-03	1609.1691322587767	1605	d	i	5.0	-4.0	8	-4	6	-4	[-2, 0, 1, -3]	[[3], [2, -1], [3], [2, -1, 3], [2, -1], [3], [3], [2, -1], [3], [2, -1], [2, -1], [2, -1], [3], [2], [-1], [-1, 3], [2], [-1, 3], [2], [-1, 3], [2], [-1, 3], [0]]	0.0	0.0197368421052631	[-3, 1]	0.7368421052631579	[-2]	0.0921052631578947	9.0	12	10	2	13	minor
13	13	monteverdi_madrigals	5-04a	1609.1691322587767	1605	g	i	5.0	-3.0	7	-4	6	-3	[0, 1, -3]	[[1], [1], [1, -2, 2], [1], [1], [1, 1, -2, 2], [1, -2, 2], [1], [1, -2, 2], [1, -2, 2], [1, -2, 2], [1], [2]]	0.0	0.046875	[-3, 1]	0.703125	[]	0.03125	8.0	11	9	2	14	minor
14	14	monteverdi_madrigals	5-04c	1609.1691322587767	1605	g	i	4.0	-4.0	5	-7	5	-2	[0, 1, 4]	[[1, 2, 1, 5, 2]]	0.0	0.019047619047619	[4, 1]	0.6571428571428571	[]	0.0285714285714285	8.0	12	7	2	15	minor
15	15	monteverdi_madrigals	5-04d	1609.1691322587767	1605	g	i	5.0	-4.0	5	-10	5	-4	[0, 1, -3]	[[1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 2, -2, 2]]	0.0	0.096	[-3, 1]	0.592	[]	0.088	9.0	15	9	2	16	minor
16	16	monteverdi_madrigals	5-04e	1609.1691322587767	1605	g	i	6.0	-4.0	5	-4	6	-2	[0]	[[1, 1, 1]]	0.0	0.0045662100456621	[-3, 1]	0.4748858447488584	[]	0.0182648401826484	10.0	9	8	2	17	minor
17	17	monteverdi_madrigals	5-05b	1609.1691322587767	1605	g	i	5.0	-4.0	5	-4	6	-1	[0, 1, -3]	[[1, 2, 1, -2, 2], [1, 2, 1, -2, 2]]	0.0	0.0408163265306122	[-3, 1]	0.6530612244897959	[]	0.0510204081632653	9.0	9	7	2	18	minor
18	18	monteverdi_madrigals	5-05c	1609.1691322587767	1605	g	i	6.0	-4.0	8	-4	6	-3	[0, 1, -3]	[[2], [2], [1, 1, -2], [1, 1, -2], [2], [1, 1, -2, 2]]	0.0	0.1059602649006622	[-3, 1]	0.609271523178808	[]	0.0596026490066225	10.0	12	9	2	19	minor
19	19	monteverdi_madrigals	5-06	1609.1691322587767	1605	g	i	4.0	-4.0	5	-7	5	-2	[0, 1, 4]	[[1, 2, 1, 5, 2]]	0.0	0.019047619047619	[4, 1]	0.6571428571428571	[]	0.0285714285714285	8.0	12	7	2	20	minor
20	20	monteverdi_madrigals	5-07	1609.1691322587767	1605	g	i	5.0	-4.0	5	-10	5	-4	[0, 1, -3]	[[1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 1, -2, 2], [1, 2, -2, 2]]	0.0	0.096	[-3, 1]	0.592	[]	0.088	9.0	15	9	2	21	minor
21	21	monteverdi_madrigals	5-08	1609.1691322587767	1605	g	i	6.0	-4.0	5	-4	6	-2	[0]	[[1, 1, 1]]	0.0	0.0045662100456621	[-3, 1]	0.4748858447488584	[]	0.0182648401826484	10.0	9	8	2	22	minor
22	22	monteverdi_madrigals	5-09	1609.1691322587767	1605	d	i	5.0	-4.0	5	-10	5	-5	[0, 5]	[[2], [2], [2], [7], [2]]	0.0	0.0718562874251497	[-3, 1]	0.7844311377245509	[5]	0.3712574850299401	9.0	15	10	2	23	minor
23	23	monteverdi_madrigals	5-10	1609.1691322587767	1605	g	i	5.0	-4.0	5	-4	6	-1	[0, 1, -3]	[[1, 2, 1, -2, 2], [1, 2, 1, -2, 2]]	0.0	0.0408163265306122	[-3, 1]	0.6530612244897959	[]	0.0510204081632653	9.0	9	7	2	24	minor
24	24	monteverdi_madrigals	5-11	1609.1691322587767	1605	g	i	6.0	-4.0	8	-4	6	-3	[0, 1, -3]	[[2], [2], [1, 1, -2], [1, 1, -2], [2], [1, 1, -2, 2]]	0.0	0.1059602649006622	[-3, 1]	0.609271523178808	[]	0.0596026490066225	10.0	12	9	2	25	minor
25	25	monteverdi_madrigals	5-14	1609.1691322587767	1605	d	i	4.0	-4.0	7	-10	6	-3	[0, 1]	[[2, 3], [2]]	0.0	0.0179640718562874	[-3, 1]	0.8682634730538922	[]	0.2455089820359281	8.0	17	9	2	26	minor
26	26	monteverdi_madrigals	5-15	1609.1691322587767	1605	d	i	5.0	-4.0	5	-10	5	-5	[0, 5]	[[2], [2], [2], [7], [2]]	0.0	0.0718562874251497	[-3, 1]	0.7844311377245509	[5]	0.3712574850299401	9.0	15	10	2	27	minor
