	corpus	piece	quarterbeats	chord	chord_tones	root	tones_in_span	ct	nct	r_chromaticity	ct_chromaticity	nct_chromaticity
49383	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	0.0	i	[0, -3, 1]	0	[0, 1, 2, -3]	[-3, 1]	[0, 2]	0	0	0
49384	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	1.0	iio64	[-4, 2, -1]	2	[-1, 0, 1, 2, -4, -3]	[-4, -1]	[0, 1, 2, -3]	0	0	0
49385	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	4.0	ii%43	[-4, 0, 2, -1]	2	[-1, 0, 2]	[-4, 0, -1]	[2]	0	0	0
49386	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	5.0	#viio2	[-4, 5, 2, -1]	5	[0, 2, 5]	[-4, 2, -1]	[0, 5]	3	0	3
49387	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	6.0	iio64	[-4, 2, -1]	2	[-1, 0, 2, -4]	[-4, -1]	[0, 2]	0	0	0
49388	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	7.0	#viio43	[-1, -4, 5, 2]	5	[-1, 1, 2, 5, -4]	[-1, -4, 2]	[1, 5]	3	0	3
49389	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	8.0	V2	[-1, 1, 5, 2]	1	[-1, 1, -4]	[-1, 5, 2]	[1, -4]	0	3	0
49390	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	9.0	i	[0, -3, 1]	0	[0, 1, 2, 3, -2, -3]	[-3, 1]	[0, 2, 3, -2]	0	0	1
49391	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	13.0	V7/iv	[0, 4, 1, -2]	0	[0, 1, 4, -2]	[4, 1, -2]	[0]	0	2	0
49392	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	15.0	IV	[-1, 3, 0]	-1	[-1, 0, 1, 3, 5, -2]	[3, 0]	[-1, 1, 5, -2]	0	1	3
49393	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	16.0	ii%43	[-4, 0, 2, -1]	2	[-1, 0, 2, -4]	[-4, 0, -1]	[2]	0	0	0
49394	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	18.0	#viio2	[-4, 5, 2, -1]	5	[-1, 0, 2, 5, -4]	[-4, 2, -1]	[0, 5]	3	0	3
49395	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	19.0	viio43/V	[0, -3, 6, 3]	6	[0, 3, 5, 6, -3]	[0, -3, 3]	[5, 6]	4	1	7
49396	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	21.0	V	[1, 5, 2]	1	[1, 2, -3]	[5, 2]	[1, -3]	0	3	0
49397	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	21.5	V(#9#7)	[1, 5, 2]	1	[3, 6]	[5, 2, 3, 6]	[]	0	8	0
49398	bach_en_fr_suites	BWV808_04a_Agrements_de_la_Sarabande	22.0	V	[1, 5, 2]	1	[1, 2, 5]	[5, 2]	[1]	0	3	0
