	version	globalkey	localkey	chord	root	RC	ct	CTC	nct	NCTC
94365	var6	A	I	V43	1	0	[2, -1, 5]	0	[1, 4]	0
94366	var6	A	I	I6	0	0	[4, 1]	0	[3]	0
94367	var6	A	I	I	0	0	[4, 1]	0	[-1, 0]	0
94368	var6	A	I	V6	1	0	[5, 2]	0	[1, 4, 7]	2
94369	var6	A	I	I	0	0	[4, 1]	0	[0, 2]	0
94370	var6	A	I	V43	1	0	[2, -1, 5]	0	[1]	0
94371	var6	A	I	V2	1	0	[-1, 5, 2]	0	[1, 4]	0
94372	var6	A	I	I6	0	0	[4, 1]	0	[0, 5, 7]	2
94373	var6	A	I	V6	1	0	[5, 2]	0	[9, 1]	4
94374	var6	A	I	I	0	0	[4, 1]	0	[0]	0
94375	var6	A	I	ii6	2	0	[-1, 3]	0	[2]	0
94376	var6	A	I	V(64)	1	0	[0, 4]	0	[1]	0
94377	var6	A	I	V	1	0	[5, 2]	0	[]	0
94378	var6	A	I	I	0	0	[4, 1]	0	[-1, 0, 2, 3]	0
94379	var6	A	I	V	1	0	[5, 2]	0	[0, 1, 4]	0
94380	var6	A	I	V7	1	0	[5, 2, -1]	0	[1, 4]	0
94381	var6	A	I	vi	3	0	[0, 4]	0	[2, 3]	0
94382	var6	A	I	viio	5	0	[2, -1]	0	[5, 4]	0
94383	var6	A	I	I	0	0	[4, 1]	0	[0]	0
94384	var6	A	I	IV	-1	0	[3, 0]	0	[-1]	0
94385	var6	A	I	viio	5	0	[2, -1]	0	[5]	0
94386	var6	A	I	I	0	0	[4, 1]	0	[0]	0
94387	var6	A	I	vi	3	0	[0, 4]	0	[3]	0
94388	var6	A	I	ii6	2	0	[-1, 3]	0	[2]	0
94389	var6	A	I	V	1	0	[5, 2]	0	[1]	0
94390	var6	A	I	I	0	0	[4, 1]	0	[-1, 0, 2, 3, 5]	0
