	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id
0	peri_euridice	peri_euridice_scene_0	1600.0	1600	F	I	3.0	-2.0	5	-1	5	-2	[1, 4, 0]	[[-1], [3], [3], [-1], [3], [3], [3], [-1, 3], [-1, 0]]	0.0	0.034482758620689655	[4, 1]	0.0	[]	0.034482758620689655	5.0	6	7	1	1
1	peri_euridice	peri_euridice_scene_1	1600.0	1600	G	I	6.0	-4.0	7	-4	6	-4	[-1, 0, 1, 2, 4]	[[1], [5], [5], [5], [2], [3], [1], [5], [5], [2], [2], [0]]	0.0	0.048701298701298704	[4, 1]	0.474025974025974	[-1, 2]	0.06168831168831169	10.0	11	10	1	2
2	peri_euridice	peri_euridice_scene_2	1600.0	1600	G	I	7.0	-4.0	7	-6	11	-4	[0, 4]	[[1], [1], [1], [1], [1], [1], [5], [1], [5], [1], [5], [5], [1], [1]]	0.0	0.15119760479041916	[4, 1]	0.6317365269461078	[]	0.1317365269461078	11.0	13	15	1	3
3	peri_euridice	peri_euridice_scene_3	1600.0	1600	G	I	8.0	-4.0	9	-4	7	-4	[1, 2]	[[2], [2], [2], [2], [3], [3]]	1.0	0.05423728813559322	[5, 2]	0.5288135593220339	[]	0.04745762711864407	12.0	13	11	1	4
4	peri_euridice	peri_euridice_scene_4	1600.0	1600	D	I	7.0	-4.0	8	-10	7	-3	[0, 1]	[[2], [3], [3], [3], [3], [3], [3], [2], [3], [3]]	0.0	0.1903367496339678	[4, 1]	1.171303074670571	[]	0.14494875549048317	11.0	18	10	1	5
5	peri_euridice	peri_euridice_scene_5	1600.0	1600	C	I	7.0	-4.0	9	-5	7	-4	[0, 4]	[[0], [4], [4], [4], [4], [4], [0], [4], [4], [0], [0], [0]]	0.0	0.10714285714285714	[4, 1]	0.3514285714285714	[]	0.05714285714285714	11.0	14	11	1	6
6	monteverdi_madrigals	2-12	1609.1691322587767	1590	F	I	5.0	-2.0	6	-2	5	-2	[1]	[[0], [0], [0], [0], [0], [0]]	1.0	0.022222222222222223	[5, 2]	0.008888888888888889	[]	0.0044444444444444444	7.0	8	7	2	7
7	monteverdi_madrigals	3-09	1609.1691322587767	1592	F	I	6.0	-1.0	6	-1	6	-1	[1, 3, 4, 5, -1, 0]	[[-1], [-1], [-1], [-1], [4], [2], [0], [-2], [3]]	0.0	0.010526315789473684	[4, 1]	0.005263157894736842	[3, 5, -1]	0.005263157894736842	7.0	7	7	2	8
8	monteverdi_madrigals	3-11	1609.1691322587767	1592	F	I	6.0	-1.0	6	-1	6	-1	[1, 3, 4, 5, -1, 0]	[[-1], [-1], [-1], [-1], [4], [2], [0], [-2], [3]]	0.0	0.010526315789473684	[4, 1]	0.005263157894736842	[3, 5, -1]	0.005263157894736842	7.0	7	7	2	9
9	monteverdi_madrigals	4-19	1609.1691322587767	1603	d	i	5.0	-4.0	6	-5	5	-3	[-4]	[[-2]]	-4.0	0.08108108108108109	[0, -3]	0.6594594594594595	[]	0.06486486486486487	9.0	11	8	2	10
10	monteverdi_madrigals	4-20	1609.1691322587767	1603	d	i	5.0	-4.0	6	-5	5	-3	[-4]	[[-2]]	-4.0	0.08108108108108109	[0, -3]	0.6594594594594595	[]	0.06486486486486487	9.0	11	8	2	11
11	monteverdi_madrigals	5-01	1609.1691322587767	1605	G	I	6.0	-4.0	8	-3	6	-3	[0, 1, 4]	[[1, 2, 1, 5, 2]]	0.0	0.0625	[4, 1]	0.1534090909090909	[]	0.011363636363636364	10.0	11	9	2	12
12	monteverdi_madrigals	5-03	1609.1691322587767	1605	d	i	5.0	-4.0	8	-4	6	-4	[-2, 0, 1, -3]	[[3], [2, -1], [3], [2, -1, 3], [2, -1], [3], [3], [2, -1], [3], [2, -1], [2, -1], [2, -1], [3], [2], [-1], [-1, 3], [2], [-1, 3], [2], [-1, 3], [2], [-1, 3], [0]]	0.0	0.019736842105263157	[-3, 1]	0.7368421052631579	[-2]	0.09210526315789473	9.0	12	10	2	13
13	monteverdi_madrigals	5-04a	1609.1691322587767	1605	g	i	5.0	-3.0	7	-4	6	-3	[0, 1, -3]	[[1], [1], [1, -2, 2], [1], [1], [1, 1, -2, 2], [1, -2, 2], [1], [1, -2, 2], [1, -2, 2], [1, -2, 2], [1], [2]]	0.0	0.046875	[-3, 1]	0.703125	[]	0.03125	8.0	11	9	2	14
