	corpus	piece	corpus_year	piece_year	globalkey	localkey_mode	max_wl	min_wl	max_ol	min_ol	WLC	OLC	wl_fifths_range	ol_fifths_range	corpus_id	piece_id
0	peri_euridice	peri_euridice_scene_0	1600.0	1600	F	major	5	-2	5	-2	0.034482758620689655	0.034482758620689655	7	7	1	1
1	peri_euridice	peri_euridice_scene_1	1600.0	1600	G	major	7	-3	6	-3	0.34065934065934067	0.04945054945054945	10	9	1	2
2	peri_euridice	peri_euridice_scene_1	1600.0	1600	G	minor	5	-4	5	-4	0.7857142857142857	0.07936507936507936	9	9	1	3
3	peri_euridice	peri_euridice_scene_2	1600.0	1600	G	major	7	-6	11	-4	0.6560636182902585	0.15109343936381708	13	15	1	4
4	peri_euridice	peri_euridice_scene_2	1600.0	1600	G	minor	7	-4	5	-4	1.1696969696969697	0.07272727272727272	11	9	1	5
5	peri_euridice	peri_euridice_scene_3	1600.0	1600	G	major	9	-3	7	-3	0.5399239543726235	0.04182509505703422	12	10	1	6
6	peri_euridice	peri_euridice_scene_3	1600.0	1600	G	minor	5	-4	4	-4	0.875	0.09375	9	8	1	7
7	peri_euridice	peri_euridice_scene_4	1600.0	1600	D	major	7	-6	7	-3	0.3419354838709677	0.012903225806451613	13	10	1	8
8	peri_euridice	peri_euridice_scene_4	1600.0	1600	D	minor	8	-10	7	-3	2.1528150134048256	0.2546916890080429	18	10	1	9
9	peri_euridice	peri_euridice_scene_5	1600.0	1600	C	major	9	-5	7	-4	0.3937908496732026	0.0457516339869281	14	11	1	10
10	peri_euridice	peri_euridice_scene_5	1600.0	1600	C	minor	6	-4	5	-3	0.7613636363636364	0.13636363636363635	10	8	1	11
11	monteverdi_madrigals	2-12	1609.1691322587767	1590	F	major	6	-2	5	-2	0.03111111111111111	0.0044444444444444444	8	7	2	12
12	monteverdi_madrigals	3-09	1609.1691322587767	1592	F	major	6	-1	6	-1	0.015789473684210527	0.005263157894736842	7	7	2	13
13	monteverdi_madrigals	3-11	1609.1691322587767	1592	F	major	6	-1	6	-1	0.015789473684210527	0.005263157894736842	7	7	2	14
14	monteverdi_madrigals	4-19	1609.1691322587767	1603	d	minor	6	-5	5	-3	0.7405405405405405	0.06486486486486487	11	8	2	15
15	monteverdi_madrigals	4-20	1609.1691322587767	1603	d	minor	6	-5	5	-3	0.7405405405405405	0.06486486486486487	11	8	2	16
16	monteverdi_madrigals	5-01	1609.1691322587767	1605	G	major	8	-2	6	-1	0.06338028169014084	0.007042253521126761	10	7	2	17
17	monteverdi_madrigals	5-01	1609.1691322587767	1605	G	minor	5	-4	3	-3	0.7647058823529411	0.029411764705882353	9	6	2	18
18	monteverdi_madrigals	5-03	1609.1691322587767	1605	d	major	8	-3	6	-2	0.19642857142857142	0.08928571428571429	11	8	2	19
19	monteverdi_madrigals	5-03	1609.1691322587767	1605	d	minor	5	-4	4	-4	1.0833333333333333	0.09375	9	8	2	20
20	monteverdi_madrigals	5-04a	1609.1691322587767	1605	g	major	7	-3	6	-3	0.08928571428571429	0.05357142857142857	10	9	2	21
21	monteverdi_madrigals	5-04a	1609.1691322587767	1605	g	minor	5	-4	3	-3	1.2638888888888888	0.013888888888888888	9	6	2	22
22	monteverdi_madrigals	5-04c	1609.1691322587767	1605	g	major	5	-3	5	-2	0.13333333333333333	0.06666666666666667	8	7	2	23
23	monteverdi_madrigals	5-04c	1609.1691322587767	1605	g	minor	5	-7	3	-2	0.7666666666666667	0.022222222222222223	12	5	2	24
24	monteverdi_madrigals	5-04d	1609.1691322587767	1605	g	major	5	-1	5	-1	0.0	0.0	6	6	2	25
25	monteverdi_madrigals	5-04d	1609.1691322587767	1605	g	minor	5	-10	5	-4	0.9555555555555556	0.12222222222222222	15	9	2	26
