	corpus	piece	localkey_mode	corpus_year	piece_year	period	globalkey	r_ilc_olc	r_ilc_ild	corpus_id	piece_id
0	ABC	n01op18-1_01	major	1812.0509746203827	1799	Classical	F	0.09811103004613773	0.49235336897773724	1	1
1	ABC	n01op18-1_01	minor	1812.0509746203827	1799	Classical	F	0.06456226793522851	0.6214844541398324	1	1
2	ABC	n01op18-1_02	major	1812.0509746203827	1799	Classical	d	-0.10247505979324507	0.11160156449726351	1	2
3	ABC	n01op18-1_02	minor	1812.0509746203827	1799	Classical	d	-0.09002561077378661	0.5734345437816202	1	2
4	ABC	n01op18-1_03	major	1812.0509746203827	1799	Classical	F	-0.054769058055094	0.5233080086615357	1	3
5	ABC	n01op18-1_03	minor	1812.0509746203827	1799	Classical	F	-0.12364931583072822	0.4781364158666367	1	3
6	ABC	n01op18-1_04	major	1812.0509746203827	1799	Classical	F	0.06824556874588988	0.21369896171445552	1	4
7	ABC	n01op18-1_04	minor	1812.0509746203827	1799	Classical	F	0.20359386492336323	0.6541321211886731	1	4
8	ABC	n02op18-2_01	major	1812.0509746203827	1800	Classical	G	0.06517683580831488	0.37919336282111177	1	5
9	ABC	n02op18-2_01	minor	1812.0509746203827	1800	Classical	G	0.27655602668100215	0.6219374058086377	1	5
10	ABC	n02op18-2_02	major	1812.0509746203827	1800	Classical	C	-0.037889333068066265	0.33769458548508396	1	6
11	ABC	n02op18-2_03	major	1812.0509746203827	1800	Classical	G	0.0014912563458744825	0.21009754878472184	1	7
12	ABC	n02op18-2_04	major	1812.0509746203827	1800	Classical	G	0.06481129346351071	0.5314087635667653	1	8
13	ABC	n02op18-2_04	minor	1812.0509746203827	1800	Classical	G	-0.12048649052540766	0.7221896226628375	1	8
14	ABC	n03op18-3_01	major	1812.0509746203827	1799	Classical	D	0.16241809926954093	0.38509346561214597	1	9
15	ABC	n03op18-3_01	minor	1812.0509746203827	1799	Classical	D	-0.29220276403473083	0.543791486648463	1	9
16	ABC	n03op18-3_02	major	1812.0509746203827	1799	Classical	Bb	0.07407308250879177	0.511406049277804	1	10
17	ABC	n03op18-3_02	minor	1812.0509746203827	1799	Classical	Bb	0.029083032061792913	0.48496224021957723	1	10
18	ABC	n03op18-3_03	major	1812.0509746203827	1799	Classical	D	0.17644012472777973	0.35888475267868336	1	11
19	ABC	n03op18-3_03	minor	1812.0509746203827	1799	Classical	D	-0.29311057781400884	0.6672999677851181	1	11
20	ABC	n03op18-3_04	major	1812.0509746203827	1799	Classical	D	-0.03848420027192121	0.31602696405881897	1	12
21	ABC	n03op18-3_04	minor	1812.0509746203827	1799	Classical	D	-0.06980904609658387	0.6239405101578274	1	12
22	ABC	n04op18-4_01	major	1812.0509746203827	1799	Classical	c	-0.056735081583386165	0.42149777012933703	1	13
23	ABC	n04op18-4_01	minor	1812.0509746203827	1799	Classical	c	-0.14657916618185426	0.42886031111248446	1	13
24	ABC	n04op18-4_02	major	1812.0509746203827	1799	Classical	C	0.17968217128241823	0.326999393846182	1	14
25	ABC	n04op18-4_02	minor	1812.0509746203827	1799	Classical	C	-0.18340520912072003	0.7526218931410271	1	14
26	ABC	n04op18-4_03	major	1812.0509746203827	1799	Classical	c	-0.04190990671703345	0.5545176842950162	1	15
27	ABC	n04op18-4_03	minor	1812.0509746203827	1799	Classical	c	0.06090325783995014	0.652739040610645	1	15
