	corpus	piece	localkey_mode	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	r_WLC_OLC	r_WLC_WLD	corpus_id	piece_id
0	ABC	n01op18-1_01	major	1812.0509746203827	1799	Classical	Classical	F	0.09811103004613773	0.5007301488220223	1	1
1	ABC	n01op18-1_01	minor	1812.0509746203827	1799	Classical	Classical	F	0.06456226793522851	0.6222548022084285	1	1
2	ABC	n01op18-1_02	major	1812.0509746203827	1799	Classical	Classical	d	-0.10247505979324507	0.10643782692699864	1	2
3	ABC	n01op18-1_02	minor	1812.0509746203827	1799	Classical	Classical	d	-0.09002561077378661	0.559438486539797	1	2
4	ABC	n01op18-1_03	major	1812.0509746203827	1799	Classical	Classical	F	-0.054769058055094	0.5093664146092082	1	3
5	ABC	n01op18-1_03	minor	1812.0509746203827	1799	Classical	Classical	F	-0.12364931583072822	0.4654902029139936	1	3
6	ABC	n01op18-1_04	major	1812.0509746203827	1799	Classical	Classical	F	0.06824556874588988	0.2032174003504438	1	4
7	ABC	n01op18-1_04	minor	1812.0509746203827	1799	Classical	Classical	F	0.20359386492336323	0.6665986234941088	1	4
8	ABC	n02op18-2_01	major	1812.0509746203827	1800	Classical	Extended tonality	G	0.06517683580831488	0.3662361447931896	1	5
9	ABC	n02op18-2_01	minor	1812.0509746203827	1800	Classical	Extended tonality	G	0.27655602668100215	0.5737707539219127	1	5
10	ABC	n02op18-2_02	major	1812.0509746203827	1800	Classical	Extended tonality	C	-0.037889333068066265	0.32359139566877093	1	6
11	ABC	n02op18-2_03	major	1812.0509746203827	1800	Classical	Extended tonality	G	0.0014912563458744825	0.17321693331670757	1	7
12	ABC	n02op18-2_04	major	1812.0509746203827	1800	Classical	Extended tonality	G	0.06481129346351071	0.5147156277999054	1	8
13	ABC	n02op18-2_04	minor	1812.0509746203827	1800	Classical	Extended tonality	G	-0.12048649052540766	0.6950244873878524	1	8
14	ABC	n03op18-3_01	major	1812.0509746203827	1799	Classical	Classical	D	0.16241809926954093	0.3674619974381607	1	9
15	ABC	n03op18-3_01	minor	1812.0509746203827	1799	Classical	Classical	D	-0.29220276403473083	0.5109575730671488	1	9
16	ABC	n03op18-3_02	major	1812.0509746203827	1799	Classical	Classical	Bb	0.07407308250879177	0.4928666735729407	1	10
17	ABC	n03op18-3_02	minor	1812.0509746203827	1799	Classical	Classical	Bb	0.029083032061792913	0.48688202704759437	1	10
18	ABC	n03op18-3_03	major	1812.0509746203827	1799	Classical	Classical	D	0.17644012472777973	0.3237014506213866	1	11
19	ABC	n03op18-3_03	minor	1812.0509746203827	1799	Classical	Classical	D	-0.29311057781400884	0.7010480585349184	1	11
20	ABC	n03op18-3_04	major	1812.0509746203827	1799	Classical	Classical	D	-0.03848420027192121	0.3118909035255964	1	12
21	ABC	n03op18-3_04	minor	1812.0509746203827	1799	Classical	Classical	D	-0.06980904609658387	0.5853168088746235	1	12
22	ABC	n04op18-4_01	major	1812.0509746203827	1799	Classical	Classical	c	-0.056735081583386165	0.41164004732934456	1	13
23	ABC	n04op18-4_01	minor	1812.0509746203827	1799	Classical	Classical	c	-0.14657916618185426	0.42195649432297666	1	13
24	ABC	n04op18-4_02	major	1812.0509746203827	1799	Classical	Classical	C	0.17968217128241823	0.3090080406128159	1	14
25	ABC	n04op18-4_02	minor	1812.0509746203827	1799	Classical	Classical	C	-0.18340520912072003	0.7483470000289962	1	14
26	ABC	n04op18-4_03	major	1812.0509746203827	1799	Classical	Classical	c	-0.04190990671703345	0.5466811642615818	1	15
27	ABC	n04op18-4_03	minor	1812.0509746203827	1799	Classical	Classical	c	0.06090325783995014	0.6287563481947935	1	15
28	ABC	n04op18-4_04	major	1812.0509746203827	1799	Classical	Classical	c	-0.10764137078496996	0.37811546776248905	1	16
29	ABC	n04op18-4_04	minor	1812.0509746203827	1799	Classical	Classical	c	-0.1497436879094316	0.4830084573015099	1	16
30	ABC	n05op18-5_01	major	1812.0509746203827	1799	Classical	Classical	A	0.08762377130711548	0.251319492294424	1	17
31	ABC	n05op18-5_01	minor	1812.0509746203827	1799	Classical	Classical	A	0.022413379414081412	0.5734541049604684	1	17
32	ABC	n05op18-5_02	major	1812.0509746203827	1799	Classical	Classical	A	-0.056605492227128115	0.24147145884014135	1	18
33	ABC	n05op18-5_02	minor	1812.0509746203827	1799	Classical	Classical	A	-0.28462722678592794	0.6802419247137713	1	18
34	ABC	n05op18-5_03	major	1812.0509746203827	1799	Classical	Classical	D	0.048745120296733654	0.3119078856939679	1	19
35	ABC	n05op18-5_03	minor	1812.0509746203827	1799	Classical	Classical	D	-0.3162277660168379	0.7489868546317852	1	19
36	ABC	n05op18-5_04	major	1812.0509746203827	1799	Classical	Classical	A	-0.0070208103556314815	0.36297554234084384	1	20
37	ABC	n05op18-5_04	minor	1812.0509746203827	1799	Classical	Classical	A	0.37219730941704043	0.8431570835149216	1	20
38	ABC	n06op18-6_01	major	1812.0509746203827	1800	Classical	Extended tonality	Bb	0.07732331907592539	0.2713600811348553	1	21
39	ABC	n06op18-6_01	minor	1812.0509746203827	1800	Classical	Extended tonality	Bb	0.018463723646899948	0.6152765082409655	1	21
40	ABC	n06op18-6_02	major	1812.0509746203827	1800	Classical	Extended tonality	Eb	-0.01679426439196255	0.1702277490821317	1	22
41	ABC	n06op18-6_02	minor	1812.0509746203827	1800	Classical	Extended tonality	Eb	-0.10101092152761725	0.6000319384451593	1	22
42	ABC	n06op18-6_03	major	1812.0509746203827	1800	Classical	Extended tonality	Bb	-0.09546171904772599	0.3980432128316569	1	23
43	ABC	n06op18-6_04	major	1812.0509746203827	1800	Classical	Extended tonality	Bb	-0.07970400458307196	0.13713803279136294	1	24
44	ABC	n06op18-6_04	minor	1812.0509746203827	1800	Classical	Extended tonality	Bb	0.055989883747212116	0.4926748156311796	1	24
45	ABC	n07op59-1_01	major	1812.0509746203827	1806	Classical	Extended tonality	F	0.04351898759867858	0.4864549081645082	1	25
46	ABC	n07op59-1_01	minor	1812.0509746203827	1806	Classical	Extended tonality	F	-0.10462057484338892	0.33084508860582845	1	25
47	ABC	n07op59-1_02	major	1812.0509746203827	1806	Classical	Extended tonality	Bb	0.0905035763531741	0.3990094804017565	1	26
48	ABC	n07op59-1_02	minor	1812.0509746203827	1806	Classical	Extended tonality	Bb	0.12138964118525569	0.4844365995496465	1	26
49	ABC	n07op59-1_03	minor	1812.0509746203827	1806	Classical	Extended tonality	f	0.17360840547330927	0.5902044314684899	1	27
50	ABC	n07op59-1_03	major	1812.0509746203827	1806	Classical	Extended tonality	f	-0.040000000000000015	0.29193202348474495	1	27
51	ABC	n07op59-1_04	major	1812.0509746203827	1806	Classical	Extended tonality	F	0.06813849756279446	0.21839838003018808	1	28
52	ABC	n07op59-1_04	minor	1812.0509746203827	1806	Classical	Extended tonality	F	0.07411607357696925	0.6069507206536947	1	28
53	ABC	n08op59-2_01	major	1812.0509746203827	1806	Classical	Extended tonality	e	-0.06886209246702152	0.6350942905626163	1	29
54	ABC	n08op59-2_01	minor	1812.0509746203827	1806	Classical	Extended tonality	e	-0.0025044717643626416	0.6110510869403223	1	29
