	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	max_WL	min_WL	max_OL	min_OL	WLC	OLC	WL_5th_range	OL_5th_range	corpus_id	piece_id	WLC_percentage	OLC_percentage
2	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	minor	5	-4	5	-4	0.7857142857142857	0.07936507936507936	9	9	1	2	0.908256880733945	0.09174311926605504
4	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	minor	7	-4	5	-4	1.1696969696969697	0.07272727272727272	11	9	1	3	0.9414634146341463	0.058536585365853655
6	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	minor	5	-4	4	-4	0.875	0.09375	9	8	1	4	0.9032258064516129	0.0967741935483871
8	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	minor	8	-10	7	-3	2.1528150134048256	0.2546916890080429	18	10	1	5	0.8942093541202673	0.10579064587973275
10	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	minor	6	-4	5	-3	0.7613636363636364	0.13636363636363635	10	8	1	6	0.8481012658227848	0.1518987341772152
14	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	6	-5	5	-3	0.7405405405405405	0.06486486486486487	11	8	2	10	0.9194630872483222	0.08053691275167786
15	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	6	-5	5	-3	0.7405405405405405	0.06486486486486487	11	8	2	11	0.9194630872483222	0.08053691275167786
17	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	minor	5	-4	3	-3	0.7647058823529411	0.029411764705882353	9	6	2	12	0.9629629629629629	0.03703703703703704
18	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	5	-4	4	-4	1.0833333333333333	0.09375	9	8	2	13	0.9203539823008849	0.07964601769911504
20	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	5	-4	3	-3	1.2638888888888888	0.013888888888888888	9	6	2	14	0.9891304347826088	0.010869565217391304
22	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	5	-7	3	-2	0.7666666666666667	0.022222222222222223	12	5	2	15	0.9718309859154929	0.02816901408450704
24	monteverdi_madrigals	5-04d	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	5	-10	5	-4	0.9555555555555556	0.12222222222222222	15	9	2	16	0.88659793814433	0.1134020618556701
26	monteverdi_madrigals	5-04e	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	5	-4	3	-2	0.7878787878787878	0.015151515151515152	9	5	2	17	0.9811320754716981	0.01886792452830189
28	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	5	-4	5	-1	0.8831168831168831	0.05194805194805195	9	6	2	18	0.9444444444444444	0.05555555555555556
30	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	6	-4	5	-3	1.338235294117647	0.08823529411764706	10	8	2	19	0.9381443298969073	0.06185567010309279
32	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	5	-7	3	-2	0.7666666666666667	0.022222222222222223	12	5	2	20	0.9718309859154929	0.02816901408450704
34	monteverdi_madrigals	5-07	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	5	-10	5	-4	0.9555555555555556	0.12222222222222222	15	9	2	21	0.88659793814433	0.1134020618556701
36	monteverdi_madrigals	5-08	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	5	-4	3	-2	0.7878787878787878	0.015151515151515152	9	5	2	22	0.9811320754716981	0.01886792452830189
38	monteverdi_madrigals	5-09	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	5	-10	5	-5	1.0687022900763359	0.4732824427480916	15	10	2	23	0.693069306930693	0.3069306930693069
40	monteverdi_madrigals	5-10	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	5	-4	5	-1	0.8831168831168831	0.05194805194805195	9	6	2	24	0.9444444444444444	0.05555555555555556
42	monteverdi_madrigals	5-11	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	6	-4	5	-3	1.338235294117647	0.08823529411764706	10	8	2	25	0.9381443298969073	0.06185567010309279
44	monteverdi_madrigals	5-14	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	5	-10	5	-3	1.037037037037037	0.2740740740740741	15	8	2	26	0.7909604519774011	0.2090395480225989
46	monteverdi_madrigals	5-15	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	5	-10	5	-5	1.0687022900763359	0.4732824427480916	15	10	2	27	0.693069306930693	0.3069306930693069
48	monteverdi_madrigals	5-17	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	6	-6	5	-4	0.9647058823529412	0.16470588235294117	12	9	2	28	0.8541666666666667	0.14583333333333334
50	monteverdi_madrigals	6-01a	1609.1691322587767	1614	Renaissance	pre-Baroque	d	minor	5	-7	3	0	1.4819277108433735	0.024096385542168676	12	3	2	29	0.984	0.016
