	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey	localkey_mode	WLC	OLC	corpus_id	piece_id
0	peri_euridice	peri_euridice_scene_0	1600.0	1600	Renaissance	pre-Baroque	F	I	major	0.03571428571428571	0.03571428571428571	1	1
1	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	I	major	0.20588235294117646	0.029411764705882353	1	2
2	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	bVII	major	0.2857142857142857	0.0	1	2
3	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	I	major	0.6086956521739131	0.11594202898550725	1	2
4	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	i	minor	0.7857142857142857	0.07936507936507936	1	2
5	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	bVII	major	0.1206896551724138	0.0	1	2
6	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	I	major	0.568904593639576	0.13780918727915195	1	3
7	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	i	minor	1.4166666666666667	0.16666666666666666	1	3
8	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	bIII	major	0.16666666666666666	0.027777777777777776	1	3
9	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	I	major	0.84375	0.125	1	3
10	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	i	minor	1.75	0.25	1	3
11	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	I	major	0.8947368421052632	0.21052631578947367	1	3
12	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	i	minor	1.0341880341880343	0.02564102564102564	1	3
13	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	I	major	0.16666666666666666	0.0	1	4
14	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	IV	major	0.5923076923076923	0.038461538461538464	1	4
15	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	bIII	major	0.6410256410256411	0.07692307692307693	1	4
16	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	I	major	0.2857142857142857	0.0	1	4
17	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	i	minor	0.875	0.09375	1	4
18	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	I	major	0.0	0.0	1	5
19	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	IV	major	0.6	0.2	1	5
20	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	bIII	major	0.30357142857142855	0.0	1	5
21	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	iv	minor	2.078189300411523	0.205761316872428	1	5
22	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	bIII	major	0.17857142857142858	0.0	1	5
23	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	iv	minor	3.1944444444444446	0.5694444444444444	1	5
24	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	IV	major	0.3392857142857143	0.03571428571428571	1	5
25	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	bIII	major	0.20408163265306123	0.0	1	5
26	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	iv	minor	1.4615384615384615	0.07692307692307693	1	5
27	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	IV	major	0.5	0.0	1	5
28	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	bIII	major	0.42857142857142855	0.0	1	5
29	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	IV	major	0.6538461538461539	0.0	1	5
30	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	iv	minor	1.0888888888888888	0.06666666666666667	1	5
31	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	I	major	0.28125	0.03125	1	6
32	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	bVII	major	0.4642857142857143	0.07142857142857142	1	6
33	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	V	major	0.5897435897435898	0.0	1	6
34	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	IV	major	0.0	0.0	1	6
35	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	V	major	0.5476190476190477	0.07936507936507936	1	6
36	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	VI	major	0.0	0.0	1	6
37	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	V	major	0.37714285714285717	0.05142857142857143	1	6
38	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	bVII	major	0.13043478260869565	0.0	1	6
