	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	total_WLD	chord_num	avg_WLD	corpus_id	piece_id
0	peri_euridice	peri_euridice_scene_0	1600.0	1600	Renaissance	pre-Baroque	F	major	5.800000000000001	29	0.2	1	1
1	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	major	39.816500000000005	182	0.21877197802197804	1	2
2	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	minor	26.366600000000002	126	0.20925873015873017	1	2
3	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	major	113.24950000000001	503	0.225148111332008	1	3
4	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	minor	37.499700000000004	165	0.2272709090909091	1	3
5	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	major	57.4498	263	0.2184403041825095	1	4
6	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	minor	6.9	32	0.215625	1	4
7	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	major	68.66640000000001	310	0.2215045161290323	1	5
8	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	minor	95.49940000000001	373	0.256030563002681	1	5
9	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	major	138.4421	612	0.2262125816993464	1	6
10	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	minor	17.933300000000003	88	0.20378750000000004	1	6
11	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	major	49.9831	225	0.2221471111111111	2	7
12	monteverdi_madrigals	3-09	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	49.1494	190	0.2586810526315789	2	8
13	monteverdi_madrigals	3-11	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	49.1494	190	0.2586810526315789	2	9
14	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	45.266400000000004	185	0.24468324324324325	2	10
15	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	45.266400000000004	185	0.24468324324324325	2	11
16	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	major	39.3129	142	0.2768514084507042	2	12
17	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	minor	9.3499	34	0.27499705882352943	2	12
18	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	25.5332	96	0.2659708333333333	2	13
19	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	12.199900000000001	56	0.21785535714285717	2	13
20	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	17.2499	72	0.23958194444444444	2	14
21	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	12.2166	56	0.21815357142857142	2	14
22	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	20.6	90	0.2288888888888889	2	15
23	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	3.0	15	0.2	2	15
24	monteverdi_madrigals	5-04d	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	22.0332	90	0.24481333333333336	2	16
25	monteverdi_madrigals	5-04d	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	8.316600000000001	35	0.2376171428571429	2	16
26	monteverdi_madrigals	5-04e	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	29.7999	132	0.2257568181818182	2	17
27	monteverdi_madrigals	5-04e	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	19.8332	87	0.22796781609195405	2	17
28	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	17.366600000000002	77	0.22554025974025976	2	18
29	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	4.4	21	0.20952380952380953	2	18
30	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	17.776600000000002	68	0.2614205882352941	2	19
31	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	20.866600000000002	83	0.25140481927710845	2	19
32	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	20.6	90	0.2288888888888889	2	20
33	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	3.0	15	0.2	2	20
34	monteverdi_madrigals	5-07	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	22.0332	90	0.24481333333333336	2	21
35	monteverdi_madrigals	5-07	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	8.316600000000001	35	0.2376171428571429	2	21
36	monteverdi_madrigals	5-08	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	29.7999	132	0.2257568181818182	2	22
37	monteverdi_madrigals	5-08	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	19.8332	87	0.22796781609195405	2	22
38	monteverdi_madrigals	5-09	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	30.6031	131	0.2336114503816794	2	23
39	monteverdi_madrigals	5-09	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	7.2	36	0.2	2	23
40	monteverdi_madrigals	5-10	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	17.366600000000002	77	0.22554025974025976	2	24
41	monteverdi_madrigals	5-10	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	4.4	21	0.20952380952380953	2	24
42	monteverdi_madrigals	5-11	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	17.776600000000002	68	0.2614205882352941	2	25
43	monteverdi_madrigals	5-11	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	20.866600000000002	83	0.25140481927710845	2	25
44	monteverdi_madrigals	5-14	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	33.5332	135	0.24839407407407407	2	26
45	monteverdi_madrigals	5-14	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	8.0	32	0.25	2	26
46	monteverdi_madrigals	5-15	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	30.6031	131	0.2336114503816794	2	27
47	monteverdi_madrigals	5-15	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	7.2	36	0.2	2	27
48	monteverdi_madrigals	5-17	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	18.7332	85	0.22039058823529412	2	28
49	monteverdi_madrigals	5-17	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	4.2	19	0.2210526315789474	2	28
50	monteverdi_madrigals	6-01a	1609.1691322587767	1614	Renaissance	pre-Baroque	d	minor	28.7997	83	0.3469843373493976	2	29
51	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	Renaissance	pre-Baroque	g	minor	54.1162	219	0.24710593607305936	2	30
52	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	Renaissance	pre-Baroque	g	major	37.1165	167	0.22225449101796407	2	30
53	monteverdi_madrigals	8-18	1609.1691322587767	1638	Renaissance	pre-Baroque	C	major	10.8833	47	0.23155957446808512	2	31
54	monteverdi_madrigals	8-18	1609.1691322587767	1638	Renaissance	pre-Baroque	C	minor	63.216100000000004	248	0.2549036290322581	2	31
55	monteverdi_madrigals	8-19	1609.1691322587767	1638	Renaissance	pre-Baroque	a	minor	33.783	139	0.24304316546762592	2	32
56	monteverdi_madrigals	8-19	1609.1691322587767	1638	Renaissance	pre-Baroque	a	major	33.9664	142	0.2392	2	32
57	monteverdi_madrigals	9-12	1609.1691322587767	1651	Renaissance	Baroque	C	major	6.716600000000001	20	0.33583	2	33
58	monteverdi_madrigals	9-12	1609.1691322587767	1651	Renaissance	Baroque	C	minor	9.3599	32	0.292496875	2	33
