	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	total_WLD	chord_num	avg_WLD	corpus_id	piece_id
0	peri_euridice	peri_euridice_scene_0	1600.0	1600	Renaissance	pre-Baroque	F	major	13.629999999999999	29	0.47	1	1
1	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	major	152.73163	308	0.4958819155844156	1	2
2	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	major	343.63111	668	0.5144178293413173	1	3
3	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	major	148.21902	295	0.5024373559322034	1	4
4	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	major	371.01718	683	0.5432169546120058	1	5
5	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	major	356.34114	700	0.5090587714285715	1	6
6	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	major	114.70412999999999	225	0.5097961333333333	2	7
7	monteverdi_madrigals	3-09	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	108.54404	190	0.5712844210526316	2	8
8	monteverdi_madrigals	3-11	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	108.54404	190	0.5712844210526316	2	9
9	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	102.77	185	0.5555135135135135	2	10
10	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	102.77	185	0.5555135135135135	2	11
11	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	major	107.89527	176	0.6130413068181818	2	12
12	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	85.05011999999999	152	0.5595402631578947	2	13
13	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	67.07267999999999	128	0.5240053124999999	2	14
14	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	54.54663	105	0.5194917142857143	2	15
15	monteverdi_madrigals	5-04d	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	69.08098	125	0.55264784	2	16
16	monteverdi_madrigals	5-04e	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	114.39797999999999	219	0.522365205479452	2	17
17	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	50.360569999999996	98	0.5138833673469387	2	18
18	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	87.36916	151	0.5786037086092715	2	19
19	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	54.54663	105	0.5194917142857143	2	20
20	monteverdi_madrigals	5-07	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	69.08098	125	0.55264784	2	21
21	monteverdi_madrigals	5-08	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	114.39797999999999	219	0.522365205479452	2	22
22	monteverdi_madrigals	5-09	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	86.52794	167	0.518131377245509	2	23
23	monteverdi_madrigals	5-10	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	50.360569999999996	98	0.5138833673469387	2	24
24	monteverdi_madrigals	5-11	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	87.36916	151	0.5786037086092715	2	25
25	monteverdi_madrigals	5-14	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	93.67195	167	0.5609098802395209	2	26
26	monteverdi_madrigals	5-15	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	86.52794	167	0.518131377245509	2	27
27	monteverdi_madrigals	5-17	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	52.3296	104	0.5031692307692308	2	28
