	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period_Johannes	period_Fabian	globalkey	localkey_mode	WLC	OLC	WLD
0	peri_euridice	peri_euridice_scene_0	1	1	1600.0	1600	pre-Baroque	Renaissance	F	major	0.034482758620689655	0.034482758620689655	0.47
1	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	pre-Baroque	Renaissance	G	major	0.34065934065934067	0.04945054945054945	0.502006978021978
2	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	pre-Baroque	Renaissance	G	minor	0.7857142857142857	0.07936507936507936	0.4870346031746032
3	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	pre-Baroque	Renaissance	G	major	0.6560636182902585	0.15109343936381708	0.5143460636182903
4	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	pre-Baroque	Renaissance	G	minor	1.1696969696969697	0.07272727272727272	0.514636606060606
5	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	pre-Baroque	Renaissance	G	major	0.5399239543726235	0.04182509505703422	0.5030951330798479
6	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	pre-Baroque	Renaissance	G	minor	0.875	0.09375	0.49703125
7	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	pre-Baroque	Renaissance	D	major	0.3419354838709677	0.012903225806451613	0.5077299354838709
8	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	pre-Baroque	Renaissance	D	minor	2.1528150134048256	0.2546916890080429	0.5727101876675603
9	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	pre-Baroque	Renaissance	C	major	0.3937908496732026	0.0457516339869281	0.5138817483660131
10	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	pre-Baroque	Renaissance	C	minor	0.7613636363636364	0.13636363636363635	0.4755171590909091
11	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	pre-Baroque	Renaissance	F	major	0.03111111111111111	0.0044444444444444444	0.5097961333333333
12	monteverdi_madrigals	3-09	2	8	1609.1691322587767	1592	pre-Baroque	Renaissance	F	major	0.015789473684210527	0.005263157894736842	0.5712844210526316
13	monteverdi_madrigals	3-11	2	9	1609.1691322587767	1592	pre-Baroque	Renaissance	F	major	0.015789473684210527	0.005263157894736842	0.5712844210526316
14	monteverdi_madrigals	4-19	2	10	1609.1691322587767	1603	pre-Baroque	Renaissance	d	minor	0.7405405405405405	0.06486486486486487	0.5555135135135135
15	monteverdi_madrigals	4-20	2	11	1609.1691322587767	1603	pre-Baroque	Renaissance	d	minor	0.7405405405405405	0.06486486486486487	0.5555135135135135
16	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	pre-Baroque	Renaissance	G	major	0.06338028169014084	0.007042253521126761	0.6130308450704225
17	monteverdi_madrigals	5-01	2	12	1609.1691322587767	1605	pre-Baroque	Renaissance	G	minor	0.7647058823529411	0.029411764705882353	0.613085
18	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	pre-Baroque	Renaissance	d	minor	1.0833333333333333	0.09375	0.5942754166666667
19	monteverdi_madrigals	5-03	2	13	1609.1691322587767	1605	pre-Baroque	Renaissance	d	major	0.19642857142857142	0.08928571428571429	0.49999428571428567
20	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	pre-Baroque	Renaissance	g	minor	1.2638888888888888	0.013888888888888888	0.5428959722222222
21	monteverdi_madrigals	5-04a	2	14	1609.1691322587767	1605	pre-Baroque	Renaissance	g	major	0.08928571428571429	0.05357142857142857	0.4997173214285714
22	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	pre-Baroque	Renaissance	g	minor	0.7666666666666667	0.022222222222222223	0.5277403333333333
23	monteverdi_madrigals	5-04c	2	15	1609.1691322587767	1605	pre-Baroque	Renaissance	g	major	0.13333333333333333	0.06666666666666667	0.47
