	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	total_WLD	chord_num	avg_WLD	corpus_id	piece_id
0	peri_euridice	peri_euridice_scene_0	1600.0	1600	Renaissance	pre-Baroque	F	major	17.4	29	0.6	1	1
1	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	major	202.2	308	0.6564935064935065	1	2
2	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	major	465.59999999999997	668	0.6970059880239521	1	3
3	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	major	198.6	295	0.6732203389830508	1	4
4	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	major	523.4	683	0.766325036603221	1	5
5	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	major	479.4	700	0.6848571428571428	1	6
6	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	major	154.79999999999998	225	0.688	2	7
7	monteverdi_madrigals	3-09	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	156.0	190	0.8210526315789474	2	8
8	monteverdi_madrigals	3-11	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	156.0	190	0.8210526315789474	2	9
9	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	145.8	185	0.7881081081081082	2	10
10	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	145.8	185	0.7881081081081082	2	11
11	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	major	162.4	176	0.9227272727272727	2	12
12	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	121.6	152	0.7999999999999999	2	13
13	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	92.0	128	0.71875	2	14
14	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	75.0	105	0.7142857142857143	2	15
15	monteverdi_madrigals	5-04d	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	97.0	125	0.776	2	16
16	monteverdi_madrigals	5-04e	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	156.0	219	0.7123287671232876	2	17
