	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey	chord_num	total_WLD	piece_avg_WLD	corpus_id	piece_id
0	peri_euridice	peri_euridice_scene_0	1600.0	1600	Renaissance	pre-Baroque	F	I	29	5.8	0.19999999999999998	1	1
1	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	I	308	64.96666666666667	0.21093073593073594	1	2
2	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	I	668	146.3	0.2190119760479042	1	3
3	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	I	295	62.5	0.211864406779661	1	4
4	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	I	683	154.13333333333333	0.22567105905319668	1	5
5	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	I	700	153.08	0.21868571428571432	1	6
6	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	I	225	48.36666666666667	0.21496296296296297	2	7
7	monteverdi_madrigals	3-09	1609.1691322587767	1592	Renaissance	pre-Baroque	F	I	190	46.300000000000004	0.2436842105263158	2	8
8	monteverdi_madrigals	3-11	1609.1691322587767	1592	Renaissance	pre-Baroque	F	I	190	46.300000000000004	0.2436842105263158	2	9
9	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	185	41.93333333333334	0.22666666666666668	2	10
10	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	i	185	41.93333333333334	0.22666666666666668	2	11
11	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	I	176	43.54	0.24738636363636363	2	12
12	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	i	152	34.93333333333334	0.2298245614035088	2	13
13	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	128	28.26666666666667	0.22083333333333335	2	14
14	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	105	22.2	0.2114285714285714	2	15
15	monteverdi_madrigals	5-04d	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	125	28.366666666666667	0.22693333333333335	2	16
16	monteverdi_madrigals	5-04e	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	219	47.266666666666666	0.2158295281582953	2	17
17	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	98	20.866666666666667	0.21292517006802722	2	18
18	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	151	34.24666666666667	0.2267991169977925	2	19
19	monteverdi_madrigals	5-06	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	105	22.2	0.2114285714285714	2	20
20	monteverdi_madrigals	5-07	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	125	28.366666666666667	0.22693333333333335	2	21
21	monteverdi_madrigals	5-08	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	219	47.266666666666666	0.2158295281582953	2	22
22	monteverdi_madrigals	5-09	1609.1691322587767	1605	Renaissance	pre-Baroque	d	i	167	36.39333333333334	0.2179241516966068	2	23
23	monteverdi_madrigals	5-10	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	98	20.866666666666667	0.21292517006802722	2	24
24	monteverdi_madrigals	5-11	1609.1691322587767	1605	Renaissance	pre-Baroque	g	i	151	34.24666666666667	0.2267991169977925	2	25
25	monteverdi_madrigals	5-14	1609.1691322587767	1605	Renaissance	pre-Baroque	d	i	167	38.0	0.2275449101796407	2	26
26	monteverdi_madrigals	5-15	1609.1691322587767	1605	Renaissance	pre-Baroque	d	i	167	36.39333333333334	0.2179241516966068	2	27
27	monteverdi_madrigals	5-17	1609.1691322587767	1605	Renaissance	pre-Baroque	d	i	104	22.533333333333335	0.21666666666666667	2	28
28	monteverdi_madrigals	6-01a	1609.1691322587767	1614	Renaissance	pre-Baroque	d	i	83	23.866666666666667	0.28755020080321286	2	29
29	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	Renaissance	pre-Baroque	g	i	386	86.86666666666667	0.22504317789291883	2	30
30	monteverdi_madrigals	8-18	1609.1691322587767	1638	Renaissance	pre-Baroque	C	I	295	69.60000000000001	0.23593220338983054	2	31
31	monteverdi_madrigals	8-19	1609.1691322587767	1638	Renaissance	pre-Baroque	a	i	281	64.9	0.2309608540925267	2	32
32	monteverdi_madrigals	9-12	1609.1691322587767	1651	Renaissance	Baroque	C	I	52	13.313333333333333	0.256025641025641	2	33
33	sweelinck_keyboard	SwWV258_fantasia_cromatica	1621.0	1621	Renaissance	pre-Baroque	d	i	501	116.9	0.23333333333333334	3	34
34	frescobaldi_fiori_musicali	12.01_Toccata_avanti_la_Messa_della_Domenica	1635.0	1635	Renaissance	pre-Baroque	d	i	57	14.34	0.25157894736842107	4	35
35	frescobaldi_fiori_musicali	12.02_Kyrie_della_domenica	1635.0	1635	Renaissance	pre-Baroque	d	i	60	15.8	0.26333333333333336	4	36
36	frescobaldi_fiori_musicali	12.03_Kyrie,_Tema_A	1635.0	1635	Renaissance	pre-Baroque	d	i	66	16.666666666666668	0.25252525252525254	4	37
37	frescobaldi_fiori_musicali	12.04_Christe,_Tema_B	1635.0	1635	Renaissance	pre-Baroque	d	i	47	10.733333333333334	0.22836879432624116	4	38
38	frescobaldi_fiori_musicali	12.05_Christe,_Tema_B,_alio_modo	1635.0	1635	Renaissance	pre-Baroque	d	i	46	11.633333333333333	0.2528985507246377	4	39
39	frescobaldi_fiori_musicali	12.06_Christe,_Tema_B,_alio_modo_II	1635.0	1635	Renaissance	pre-Baroque	d	i	46	9.533333333333333	0.2072463768115942	4	40
40	frescobaldi_fiori_musicali	12.07_Christe,_Tema_B,_alio_modo_III	1635.0	1635	Renaissance	pre-Baroque	d	i	35	8.366666666666667	0.23904761904761906	4	41
