	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	total_WLD	chord_num	avg_WLD	corpus_id	piece_id
0	peri_euridice	peri_euridice_scene_0	1600.0	1600	Renaissance	pre-Baroque	F	major	17.4	29	0.6	1	1
1	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	major	122.2	182	0.6714285714285715	1	2
2	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	minor	80.0	126	0.6349206349206349	1	2
3	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	major	351.2	503	0.6982107355864811	1	3
4	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	minor	114.39999999999999	165	0.6933333333333332	1	3
5	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	major	177.2	263	0.673764258555133	1	4
6	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	minor	21.4	32	0.66875	1	4
7	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	major	212.0	310	0.6838709677419355	1	5
8	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	minor	311.4	373	0.83485254691689	1	5
9	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	major	425.59999999999997	612	0.6954248366013072	1	6
10	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	minor	53.8	88	0.6113636363636363	1	6
11	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	major	154.79999999999998	225	0.688	2	7
12	monteverdi_madrigals	3-09	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	156.0	190	0.8210526315789474	2	8
13	monteverdi_madrigals	3-11	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	156.0	190	0.8210526315789474	2	9
14	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	145.8	185	0.7881081081081082	2	10
15	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	145.8	185	0.7881081081081082	2	11
16	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	major	131.4	142	0.9253521126760563	2	12
17	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	minor	31.0	34	0.9117647058823529	2	12
18	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	84.6	96	0.88125	2	13
19	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	37.0	56	0.6607142857142857	2	13
20	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	54.8	72	0.7611111111111111	2	14
21	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	37.2	56	0.6642857142857144	2	14
22	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	66.0	90	0.7333333333333333	2	15
23	monteverdi_madrigals	5-04c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	9.0	15	0.6	2	15
24	monteverdi_madrigals	5-04d	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	70.8	90	0.7866666666666666	2	16
25	monteverdi_madrigals	5-04d	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	26.2	35	0.7485714285714286	2	16
26	monteverdi_madrigals	5-04e	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	94.0	132	0.7121212121212122	2	17
27	monteverdi_madrigals	5-04e	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	62.0	87	0.7126436781609196	2	17
28	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	54.4	77	0.7064935064935065	2	18
29	monteverdi_madrigals	5-05b	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	13.6	21	0.6476190476190476	2	18
30	monteverdi_madrigals	5-05c	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	61.2	68	0.9	2	19
