	corpus	piece	corpus_year	piece_year	period_Fabian	period_Johannes	globalkey	localkey_mode	max_WL	min_WL	max_OL	min_OL	WL_5th_range	OL_5th_range	corpus_id	piece_id
0	peri_euridice	peri_euridice_scene_0	1600.0	1600	Renaissance	pre-Baroque	F	major	5	-2	5	-2	7	7	1	1
1	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	major	7	-3	6	-3	10	9	1	2
2	peri_euridice	peri_euridice_scene_1	1600.0	1600	Renaissance	pre-Baroque	G	minor	5	-4	5	-4	9	9	1	2
3	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	major	7	-6	11	-4	13	15	1	3
4	peri_euridice	peri_euridice_scene_2	1600.0	1600	Renaissance	pre-Baroque	G	minor	7	-4	5	-4	11	9	1	3
5	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	major	9	-3	7	-3	12	10	1	4
6	peri_euridice	peri_euridice_scene_3	1600.0	1600	Renaissance	pre-Baroque	G	minor	5	-4	4	-4	9	8	1	4
7	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	major	7	-6	7	-3	13	10	1	5
8	peri_euridice	peri_euridice_scene_4	1600.0	1600	Renaissance	pre-Baroque	D	minor	8	-10	7	-3	18	10	1	5
9	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	major	9	-5	7	-4	14	11	1	6
10	peri_euridice	peri_euridice_scene_5	1600.0	1600	Renaissance	pre-Baroque	C	minor	6	-4	5	-3	10	8	1	6
11	monteverdi_madrigals	2-12	1609.1691322587767	1590	Renaissance	pre-Baroque	F	major	6	-2	5	-2	8	7	2	7
12	monteverdi_madrigals	3-09	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	6	-1	6	-1	7	7	2	8
13	monteverdi_madrigals	3-11	1609.1691322587767	1592	Renaissance	pre-Baroque	F	major	6	-1	6	-1	7	7	2	9
14	monteverdi_madrigals	4-19	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	6	-5	5	-3	11	8	2	10
15	monteverdi_madrigals	4-20	1609.1691322587767	1603	Renaissance	pre-Baroque	d	minor	6	-5	5	-3	11	8	2	11
16	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	major	8	-2	6	-1	10	7	2	12
17	monteverdi_madrigals	5-01	1609.1691322587767	1605	Renaissance	pre-Baroque	G	minor	5	-4	3	-3	9	6	2	12
18	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	minor	5	-4	4	-4	9	8	2	13
19	monteverdi_madrigals	5-03	1609.1691322587767	1605	Renaissance	pre-Baroque	d	major	8	-3	6	-2	11	8	2	13
20	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	minor	5	-4	3	-3	9	6	2	14
21	monteverdi_madrigals	5-04a	1609.1691322587767	1605	Renaissance	pre-Baroque	g	major	7	-3	6	-3	10	9	2	14
