	corpus	piece	corpus_id	piece_id	corpus_year	piece_year	period	globalkey	localkey	ILC	OLC	ILD
0	peri_euridice	peri_euridice_scene_0	1	1	1600.0	1600	Renaissance	F	I	0.03571428571428571	0.03571428571428571	0.1931034482758621
1	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	Renaissance	G	I	0.20588235294117646	0.029411764705882353	0.06925533980582524
2	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	Renaissance	G	bVII	0.2857142857142857	0.0	0.060548101265822794
3	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	Renaissance	G	I	0.6086956521739131	0.11594202898550725	0.15582427184466022
4	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	Renaissance	G	i	0.7857142857142857	0.07936507936507936	0.20925873015873017
5	peri_euridice	peri_euridice_scene_1	1	2	1600.0	1600	Renaissance	G	bVII	0.1206896551724138	0.0	0.15000000000000002
6	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	I	0.568904593639576	0.13780918727915195	0.13665182012847965
7	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	i	1.4166666666666667	0.16666666666666666	0.04757575757575758
8	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	bIII	0.16666666666666666	0.027777777777777776	0.21111111111111114
9	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	I	0.84375	0.125	0.01655952890792291
10	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	i	1.75	0.25	0.016565454545454546
11	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	I	0.8947368421052632	0.21052631578947367	0.07301884368308352
12	peri_euridice	peri_euridice_scene_2	1	3	1600.0	1600	Renaissance	G	i	1.0341880341880343	0.02564102564102564	0.16312969696969698
13	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	Renaissance	G	I	0.16666666666666666	0.0	0.02181818181818182
14	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	Renaissance	G	IV	0.5923076923076923	0.038461538461538464	0.22448615384615384
15	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	Renaissance	G	bIII	0.6410256410256411	0.07692307692307693	0.20940128205128206
16	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	Renaissance	G	I	0.2857142857142857	0.0	0.1951509090909091
17	peri_euridice	peri_euridice_scene_3	1	4	1600.0	1600	Renaissance	G	i	0.875	0.09375	0.215625
18	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	I	0.0	0.0	0.2
19	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	IV	0.6	0.2	0.02160462962962963
20	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	bIII	0.30357142857142855	0.0	0.061022751322751326
21	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	iv	2.078189300411523	0.205761316872428	0.17184852546916893
22	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	bIII	0.17857142857142858	0.0	0.03518518518518519
23	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	iv	3.1944444444444446	0.5694444444444444	0.048614745308310996
24	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	IV	0.3392857142857143	0.03571428571428571	0.1282398148148148
25	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	bIII	0.20408163265306123	0.0	0.055731746031746035
26	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	iv	1.4615384615384615	0.07692307692307693	0.0069705093833780166
27	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	IV	0.5	0.0	0.02962962962962963
28	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	bIII	0.42857142857142855	0.0	0.06543174603174604
29	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	IV	0.6538461538461539	0.0	0.05185185185185186
30	peri_euridice	peri_euridice_scene_4	1	5	1600.0	1600	Renaissance	D	iv	1.0888888888888888	0.06666666666666667	0.028596782841823057
31	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	I	0.28125	0.03125	0.216665625
32	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	bVII	0.4642857142857143	0.07142857142857142	0.12156862745098039
33	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	V	0.5897435897435898	0.0	0.019753009259259262
34	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	IV	0.0	0.0	0.066665
35	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	V	0.5476190476190477	0.07936507936507936	0.06813194444444444
36	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	VI	0.0	0.0	0.2
37	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	V	0.37714285714285717	0.05142857142857143	0.09666527777777778
38	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	bVII	0.13043478260869565	0.0	0.10163333333333334
39	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	V	0.43859649122807015	0.05263157894736842	0.027314814814814816
40	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	IV	0.4482758620689655	0.0	0.16333250000000002
41	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	V	0.3142857142857143	0.05714285714285714	0.017283796296296297
42	peri_euridice	peri_euridice_scene_5	1	6	1600.0	1600	Renaissance	C	v	0.7613636363636364	0.13636363636363635	0.20378750000000004
43	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	I	0.06779661016949153	0.0	0.065583
44	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	IV	0.0	0.0	0.13333333333333333
45	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	I	0.02564102564102564	0.0	0.0874165
46	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	IV	0.0	0.0	0.07555333333333333
47	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	I	0.0	0.0	0.01
48	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	V	0.0	0.1	0.2
49	monteverdi_madrigals	2-12	2	7	1609.1691322587767	1590	Renaissance	F	I	0.018867924528301886	0.0	0.0612495
50	monteverdi_madrigals	3-09	2	8	1609.1691322587767	1592	Renaissance	F	I	0.015789473684210527	0.005263157894736842	0.2586810526315789
51	monteverdi_madrigals	3-11	2	9	1609.1691322587767	1592	Renaissance	F	I	0.015789473684210527	0.005263157894736842	0.2586810526315789
