	corpus	piece	corpus_year	piece_year	period	globalkey	localkey	localkey_mode	quarterbeats	chord	in_label	out_of_label	interval_classes	ILC	OLC	ILD	corpus_id	piece_id
208821	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	0.0	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	30	10
208822	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	4.0	I+	(0, 4, 8)	()	(4, 4, 4)	3	0	0.2	30	10
208823	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	4.5	vi6	(0, 4, 3)	()	(4, 3, 5)	0	0	0.2	30	10
208824	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	5.5	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	30	10
208825	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	6.0	ii	(2, -1, 3)	(0,)	(3, 5, 4)	0	0	0.2	30	10
208826	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	9.0	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	30	10
208827	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	10.0	vi6	(0, 4, 3)	()	(4, 3, 5)	0	0	0.2	30	10
208828	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	10.5	V	(1, 5, 2)	(0,)	(4, 5, 3)	0	0	0.2	30	10
208829	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	11.5	ii6	(-1, 3, 2)	(0,)	(4, 3, 5)	0	0	0.2	30	10
208830	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	12.0	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	30	10
208831	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	14.5	viio6	(2, -1, 5)	(0,)	(3, 3, 6)	0	0	0.5333	30	10
208832	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	15.0	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	30	10
208833	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	16.0	I+	(0, 4, 8)	()	(4, 4, 4)	3	0	0.2	30	10
208834	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	16.5	vi6	(0, 4, 3)	()	(4, 3, 5)	0	0	0.2	30	10
208835	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	17.5	I	(0, 4, 1)	()	(4, 5, 3)	0	0	0.2	30	10
208836	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	18.0	ii	(2, -1, 3)	(0, 1, 4)	(3, 5, 4)	0	0	0.2	30	10
208837	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	21.0	viio6	(2, -1, 5)	(0,)	(3, 3, 6)	0	0	0.5333	30	10
208838	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	22.0	ii	(2, -1, 3)	(0,)	(3, 5, 4)	0	0	0.2	30	10
208839	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	22.5	viio6	(2, -1, 5)	(0,)	(3, 3, 6)	0	0	0.5333	30	10
208840	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	24.0	V7/IV	(0, 4, 1, -2)	()	(4, 5, 2, 3, 6, 3)	1	0	0.6	30	10
208841	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	25.5	ii43/IV	(2, -1, 1, -2)	(0,)	(3, 5, 4, 2, 5, 3)	1	0	0.4	30	10
208842	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	27.0	V7/IV	(0, 4, 1, -2)	()	(4, 5, 2, 3, 6, 3)	1	0	0.6	30	10
208843	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	28.5	i/iv	(-1, -4, 0)	()	(3, 5, 4)	3	0	0.2	30	10
208844	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	30.0	IV	(-1, 3, 0)	(1, -2, -3)	(4, 5, 3)	0	3	0.2	30	10
208845	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	31.5	ii6	(-1, 3, 2)	(0, -2, -3)	(4, 3, 5)	0	3	0.2	30	10
208846	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	32.5	#vii%43	(-1, 3, 5, 2)	(-2, -3)	(4, 6, 3, 2, 5, 3)	0	3	0.6	30	10
208847	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	33.0	I	(0, 4, 1)	(-1, 2, -2)	(4, 5, 3)	0	1	0.2	30	10
208848	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	34.5	vi6	(0, 4, 3)	(1, 2, -2)	(4, 3, 5)	0	1	0.2	30	10
208849	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	36.0	V/ii	(3, 7, 4)	()	(4, 5, 3)	2	0	0.2	30	10
208850	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	37.5	i/ii	(2, -1, 3)	()	(3, 5, 4)	0	0	0.2	30	10
208851	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	38.5	V7/ii	(3, 7, 4, 1)	()	(4, 5, 2, 3, 6, 3)	2	0	0.6	30	10
208852	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	39.0	i/ii	(2, -1, 3)	()	(3, 5, 4)	0	0	0.2	30	10
208853	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	40.5	i6/ii	(-1, 3, 2)	(1, 4)	(4, 3, 5)	0	0	0.2	30	10
208854	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	42.0	V2	(-1, 1, 5, 2)	(0, 3, 4)	(2, 6, 3, 4, 5, 3)	0	0	0.6	30	10
208855	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	48.0	I6	(4, 1, 0)	()	(3, 4, 5)	0	0	0.2	30	10
208856	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	49.5	IV	(-1, 3, 0)	(5,)	(4, 5, 3)	0	0	0.2	30	10
208857	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	51.0	I6	(4, 1, 0)	()	(3, 4, 5)	0	0	0.2	30	10
208858	dvorak_silhouettes	op08n10	1879.0	1879	Late Romantic	G	I	major	52.5	ii7	(2, -1, 3, 0)	(5,)	(3, 5, 2, 4, 5, 3)	0	0	0.4	30	10
