	corpus	piece	corpus_year	piece_year	period	globalkey	localkey	localkey_mode	quarterbeats	chord	in_label	out_of_label	interval_classes	ILC	OLC	ILD	corpus_id	piece_id
216522	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	1.0	V	(1, 5, 2)	(-1, -4)	(4, 5, 3)	3	0	0.2	31	59
216523	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	3.0	VI	(-4, 0, -3)	()	(4, 5, 3)	0	0	0.2	31	59
216524	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	15.0	V(13)	(1, 5, 2, -3)	()	(4, 5, 4, 3, 4, 1)	3	0	0.5	31	59
216525	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	17.0	V7	(1, 5, 2, -1)	(-3,)	(4, 5, 2, 3, 6, 3)	3	0	0.6	31	59
216526	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	21.0	V(13)	(1, 5, 2, -3)	()	(4, 5, 4, 3, 4, 1)	3	0	0.5	31	59
216527	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	23.0	V7	(1, 5, 2, -1)	(-3,)	(4, 5, 2, 3, 6, 3)	3	0	0.6	31	59
216528	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	27.0	V(13)	(1, 5, 2, -3)	()	(4, 5, 4, 3, 4, 1)	3	0	0.5	31	59
216529	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	29.0	V7(13)	(1, 5, 2, -1, -3)	()	(4, 5, 2, 4, 3, 6, 4, 3, 1, 2)	3	0	0.88	31	59
216530	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	33.0	V7(9)/iv	(0, 4, 1, -2, -5)	(2,)	(4, 5, 2, 1, 3, 6, 3, 3, 6, 3)	3	0	1.0	31	59
216531	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	35.0	V7/iv	(0, 4, 1, -2)	()	(4, 5, 2, 3, 6, 3)	2	0	0.6	31	59
216532	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	39.0	V/VII	(-1, 3, 0)	()	(4, 5, 3)	1	0	0.2	31	59
216533	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	41.0	V7(9)/VII	(-1, 3, 0, -3, 1)	(2,)	(4, 5, 2, 2, 3, 6, 2, 3, 5, 4)	1	0	0.76	31	59
216534	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	44.0	V7/VII	(-1, 3, 0, -3)	(2,)	(4, 5, 2, 3, 6, 3)	1	0	0.6	31	59
216535	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	45.0	V/VII	(-1, 3, 0)	()	(4, 5, 3)	1	0	0.2	31	59
216536	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	47.0	V7(9)/VII	(-1, 3, 0, -3, 1)	(2,)	(4, 5, 2, 2, 3, 6, 2, 3, 5, 4)	1	0	0.76	31	59
216537	grieg_lyric_pieces	op68n06	1890.3354624738975	1899	Late Romantic	g	i	minor	50.0	V7/VII	(-1, 3, 0, -3)	(2,)	(4, 5, 2, 3, 6, 3)	1	0	0.6	31	59
