2024-03-22 15:27:20,321 - WARNING - Unannotated pieces ===============================:
2024-03-22 15:27:20,321 - WARNING - ('beethoven_piano_sonatas', '04-1')
2024-03-22 15:27:20,321 - WARNING - ('beethoven_piano_sonatas', '04-2')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '04-3')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '04-4')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '11-1')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '11-2')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '11-3')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '11-4')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '12-1')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '12-2')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '12-3')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '12-4')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '13-1')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '13-2')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '13-3')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '13-4')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '14-1')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '14-2')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '14-3')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '15-1')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '15-2')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '15-3')
2024-03-22 15:27:20,322 - WARNING - ('beethoven_piano_sonatas', '15-4')
2024-03-22 15:27:20,322 - WARNING - ('boccherini_ensemble', 'G448_1_Guitar_quintet_D_Allegro_Maestoso')
2024-03-22 15:27:20,322 - WARNING - ('boccherini_ensemble', 'G448_2_Guitar_quintet_D_Pastorale')
2024-03-22 15:27:20,323 - WARNING - ('boccherini_ensemble', 'G448_3_Guitar_quintet_D_Grave_assai')
2024-03-22 15:27:20,323 - WARNING - ('boccherini_ensemble', 'G448_4_Guitar_quintet_D_Fandango')
2024-03-22 15:27:20,323 - WARNING - ('couperin_concerts', 'c12n01_pointe')
2024-03-22 15:27:20,323 - WARNING - ('couperin_concerts', 'c12n02_badinage')
2024-03-22 15:27:20,323 - WARNING - ('couperin_concerts', 'c12n03_air')
2024-03-22 15:27:20,323 - WARNING - ('couperin_concerts', 'c13n01_unisson')
2024-03-22 15:27:20,323 - WARNING - ('couperin_concerts', 'c13n02_air')
2024-03-22 15:27:20,323 - WARNING - ('couperin_concerts', 'c13n03_sarabande')
2024-03-22 15:27:20,323 - WARNING - ('couperin_concerts', 'c13n04_chaconne')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq112n02')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq112n08')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq112n15')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq113n03')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq114n07')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq117n11')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq117n12')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq117n13')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq117n14')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq119n07')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq50n01a')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq50n01b')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq50n01c')
2024-03-22 15:27:20,323 - WARNING - ('cpe_bach_keyboard', 'wq50n02a')
