2023-11-27 16:10:23,793 - WARNING - Unannotated pieces ===============================:
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '04-1')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '04-2')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '04-3')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '04-4')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '11-1')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '11-2')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '11-3')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '11-4')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '12-1')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '12-2')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '12-3')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '12-4')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '13-1')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '13-2')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '13-3')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '13-4')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '14-1')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '14-2')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '14-3')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '15-1')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '15-2')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '15-3')
2023-11-27 16:10:23,793 - WARNING - ('beethoven_piano_sonatas', '15-4')
2023-11-27 16:10:23,793 - WARNING - ('boccherini_ensemble', 'G448_1_Guitar_quintet_D_Allegro_Maestoso')
2023-11-27 16:10:23,793 - WARNING - ('boccherini_ensemble', 'G448_2_Guitar_quintet_D_Pastorale')
2023-11-27 16:10:23,793 - WARNING - ('boccherini_ensemble', 'G448_3_Guitar_quintet_D_Grave_assai')
2023-11-27 16:10:23,793 - WARNING - ('boccherini_ensemble', 'G448_4_Guitar_quintet_D_Fandango')
2023-11-27 16:10:23,793 - WARNING - ('couperin_concerts', 'c12n01_pointe')
2023-11-27 16:10:23,793 - WARNING - ('couperin_concerts', 'c12n02_badinage')
2023-11-27 16:10:23,793 - WARNING - ('couperin_concerts', 'c12n03_air')
2023-11-27 16:10:23,793 - WARNING - ('couperin_concerts', 'c13n01_unisson')
2023-11-27 16:10:23,793 - WARNING - ('couperin_concerts', 'c13n02_air')
2023-11-27 16:10:23,793 - WARNING - ('couperin_concerts', 'c13n03_sarabande')
2023-11-27 16:10:23,793 - WARNING - ('couperin_concerts', 'c13n04_chaconne')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq112n02')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq112n08')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq112n15')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq113n03')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq114n07')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq117n11')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq117n12')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq117n13')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq117n14')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq119n07')
2023-11-27 16:10:23,793 - WARNING - ('cpe_bach_keyboard', 'wq50n01a')
2023-11-27 16:10:23,794 - WARNING - ('cpe_bach_keyboard', 'wq50n01b')
2023-11-27 16:10:23,794 - WARNING - ('cpe_bach_keyboard', 'wq50n01c')
2023-11-27 16:10:23,794 - WARNING - ('cpe_bach_keyboard', 'wq50n02a')
2023-11-27 16:10:23,794 - WARNING - ('cpe_bach_keyboard', 'wq50n02b')
2023-11-27 16:10:23,794 - WARNING - ('cpe_bach_keyboard', 'wq50n02c')
2023-11-27 16:10:23,794 - WARNING - ('cpe_bach_keyboard', 'wq50n03a')
