	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	mean_r_chromaticity	max_r_chromaticity	min_r_chromaticity	mean_ct_chromaticity	max_ct_chromaticity	min_ct_chromaticity	mean_nct_chromaticity	max_nct_chromaticity	min_nct_chromaticity	mean_pcs_chromaticity	max_pcs_chromaticity	min_pcs_chromaticity	mean_ct_diatonicity	max_ct_diatonicity	min_ct_diatonicity	mean_nct_diatonicity	max_nct_diatonicity	min_nct_diatonicity	mean_pcs_diatonicity	max_pcs_diatonicity	min_pcs_diatonicity	root_fifths_range	ct_fifths_range	nct_fifths_range	scaled_r_chromaticity	scaled_ct_chromaticity	scaled_nct_chromaticity	corpus_id	piece_id
0	gastoldi_baletti	a5_10_Il_Premiato	1591.0	1591.0	G	I	5	-1	9	-3	3	-2	0.0	0	0	2.2	5	0	0.5	1	0	1.75	4	0	0.0	0	0	0.0	0	0	0.0	0	0	6	12	5	0.0	0.14498567335243553	0.013888888888888888	1	1
1	peri_euridice	peri_euridice_scene_0	1600.0	1600.0	F	I	3	-2	5	-1	5	-2	0.034482758620689655	1	0	0.0	0	0	0.5	1	0	0.5	1	0	0.0	0	0	0.0	0	0	0.0	0	0	5	6	7	0.015711079371556826	0.0	0.013888888888888888	2	2
2	peri_euridice	peri_euridice_scene_1	1600.0	1600.0	G	I	6	-4	7	-4	6	-4	0.048701298701298704	2	0	1.5	3	0	1.5	3	0	2.0	4	0	1.0	2	0	0.0	0	0	1.0	2	0	10	11	10	0.022189349112426038	0.0988538681948424	0.041666666666666664	2	3
3	peri_euridice	peri_euridice_scene_2	1600.0	1600.0	G	I	7	-4	7	-6	11	-4	0.15119760479041916	4	0	3.0	7	0	2.6666666666666665	6	0	3.5	7	0	1.0	2	0	2.6666666666666665	5	0	3.0	6	0	11	13	15	0.06888884951989512	0.1977077363896848	0.07407407407407407	2	4
4	peri_euridice	peri_euridice_scene_3	1600.0	1600.0	G	I	8	-4	9	-4	7	-4	0.05423728813559322	3	0	2.5	5	0	1.0	2	0	1.5	3	0	1.6666666666666667	3	0	0.0	0	0	1.0	2	0	12	13	11	0.02471166382509277	0.16475644699140402	0.027777777777777776	2	5
5	peri_euridice	peri_euridice_scene_4	1600.0	1600.0	D	I	7	-4	8	-10	7	-4	0.1903367496339678	4	0	4.666666666666667	11	0	3.4285714285714284	7	0	5.0	10	0	4.0	10	0	1.0	2	0	2.0	4	0	11	18	11	0.08672147764387882	0.30754536771728747	0.09523809523809523	2	6
6	peri_euridice	peri_euridice_scene_5	1600.0	1600.0	C	I	7	-4	9	-5	7	-4	0.10714285714285714	3	0	3.0	7	0	2.0	4	0	2.0	4	0	0.0	0	0	1.0	2	0	1.0	2	0	11	14	11	0.04881656804733728	0.1977077363896848	0.05555555555555555	2	7
7	monteverdi_madrigals	2-12	1609.1691322587767	1590.0	F	I	5	-2	6	-2	5	-2	0.022222222222222223	1	0	0.5	1	0	0.5	1	0	0.5	1	0	0.0	0	0	0.0	0	0	0.0	0	0	7	8	7	0.01012491781722551	0.0329512893982808	0.013888888888888888	3	8
8	monteverdi_madrigals	3-09	1609.1691322587767	1592.0	F	I	6	-1	6	-1	6	-1	0.010526315789473684	1	0	0.5	1	0	0.5	1	0	0.5	1	0	0.0	0	0	0.5	1	0	0.5	1	0	7	7	7	0.004796013702896294	0.0329512893982808	0.013888888888888888	3	9
9	monteverdi_madrigals	3-11	1609.1691322587767	1592.0	F	I	6	-1	6	-1	6	-1	0.010526315789473684	1	0	0.5	1	0	0.5	1	0	0.5	1	0	0.0	0	0	0.5	1	0	0.5	1	0	7	7	7	0.004796013702896294	0.0329512893982808	0.013888888888888888	3	10
10	monteverdi_madrigals	4-19	1609.1691322587767	1603.0	d	i	5	-4	6	-5	5	-4	0.08108108108108109	3	0	2.2	5	0	1.5	3	0	2.5	5	0	1.0	2	0	0.0	0	0	1.0	2	0	9	11	9	0.036942267711498486	0.14498567335243553	0.041666666666666664	3	11
11	monteverdi_madrigals	4-20	1609.1691322587767	1603.0	d	i	5	-4	6	-5	5	-4	0.08108108108108109	3	0	2.2	5	0	1.5	3	0	2.5	5	0	1.0	2	0	0.0	0	0	1.0	2	0	9	11	9	0.036942267711498486	0.14498567335243553	0.041666666666666664	3	12
12	monteverdi_madrigals	5-01	1609.1691322587767	1605.0	G	I	6	-4	8	-3	6	-4	0.0625	3	0	1.5	3	0	1.3333333333333333	3	0	1.5	3	0	1.0	2	0	0.5	1	0	0.5	1	0	10	11	10	0.028476331360946745	0.0988538681948424	0.037037037037037035	3	13
13	monteverdi_madrigals	5-03	1609.1691322587767	1605.0	d	i	5	-4	8	-4	6	-4	0.019736842105263157	3	0	1.5	3	0	1.5	3	0	2.2	5	0	1.0	2	0	0.0	0	0	1.0	2	0	9	12	10	0.008992525692930551	0.0988538681948424	0.041666666666666664	3	14
14	monteverdi_madrigals	5-04a	1609.1691322587767	1605.0	g	i	5	-3	7	-4	6	-3	0.046875	3	0	1.5	3	0	1.5	3	0	2.0	4	0	0.0	0	0	0.0	0	0	0.0	0	0	8	11	9	0.02135724852071006	0.0988538681948424	0.041666666666666664	3	15
15	monteverdi_madrigals	5-04c	1609.1691322587767	1605.0	g	i	4	-4	5	-7	5	-4	0.01904761904761905	2	0	1.5	3	0	1.0	2	0	1.5	3	0	0.0	0	0	0.0	0	0	0.0	0	0	8	12	9	0.008678500986193294	0.0988538681948424	0.027777777777777776	3	16
16	monteverdi_madrigals	5-04d	1609.1691322587767	1605.0	g	i	5	-4	5	-10	5	-4	0.096	3	0	3.0	9	0	2.25	5	0	2.5	5	0	1.0	2	0	0.0	0	0	1.0	2	0	9	15	9	0.0437396449704142	0.1977077363896848	0.0625	3	17
17	monteverdi_madrigals	5-04e	1609.1691322587767	1605.0	g	i	6	-4	5	-4	6	-4	0.0045662100456621	1	0	1.5	3	0	0.5	1	0	2.0	4	0	0.0	0	0	0.0	0	0	0.0	0	0	10	9	10	0.0020804625651833237	0.0988538681948424	0.013888888888888888	3	18
18	monteverdi_madrigals	5-05b	1609.1691322587767	1605.0	g	i	5	-4	5	-4	6	-4	0.04081632653061224	3	0	1.5	3	0	2.0	4	0	2.0	4	0	0.0	0	0	0.0	0	0	1.0	2	0	9	9	10	0.018596787827557058	0.0988538681948424	0.05555555555555555	3	19
19	monteverdi_madrigals	5-05c	1609.1691322587767	1605.0	g	i	6	-4	8	-4	6	-4	0.10596026490066225	4	0	2.2	5	0	1.75	4	0	2.5	5	0	1.0	2	0	0.0	0	0	1.0	2	0	10	12	10	0.048277753830479254	0.14498567335243553	0.04861111111111111	3	20
20	monteverdi_madrigals	5-06	1609.1691322587767	1605.0	g	i	4	-4	5	-7	5	-4	0.01904761904761905	2	0	1.5	3	0	1.0	2	0	1.5	3	0	0.0	0	0	0.0	0	0	0.0	0	0	8	12	9	0.008678500986193294	0.0988538681948424	0.027777777777777776	3	21
21	monteverdi_madrigals	5-07	1609.1691322587767	1605.0	g	i	5	-4	5	-10	5	-4	0.096	3	0	3.0	9	0	2.25	5	0	2.5	5	0	1.0	2	0	0.0	0	0	1.0	2	0	9	15	9	0.0437396449704142	0.1977077363896848	0.0625	3	22
22	monteverdi_madrigals	5-08	1609.1691322587767	1605.0	g	i	6	-4	5	-4	6	-4	0.0045662100456621	1	0	1.5	3	0	0.5	1	0	2.0	4	0	0.0	0	0	0.0	0	0	0.0	0	0	10	9	10	0.0020804625651833237	0.0988538681948424	0.013888888888888888	3	23
23	monteverdi_madrigals	5-09	1609.1691322587767	1605.0	d	i	5	-4	5	-10	5	-5	0.0718562874251497	3	0	3.6666666666666665	11	0	2.5	5	0	3.0	6	0	1.5	3	0	0.5	1	0	1.0	2	0	9	15	10	0.0327392552173759	0.24164278892072585	0.06944444444444445	3	24
24	monteverdi_madrigals	5-10	1609.1691322587767	1605.0	g	i	5	-4	5	-4	6	-4	0.04081632653061224	3	0	1.5	3	0	2.0	4	0	2.0	4	0	0.0	0	0	0.0	0	0	1.0	2	0	9	9	10	0.018596787827557058	0.0988538681948424	0.05555555555555555	3	25
25	monteverdi_madrigals	5-11	1609.1691322587767	1605.0	g	i	6	-4	8	-4	6	-4	0.10596026490066225	4	0	2.2	5	0	1.75	4	0	2.5	5	0	1.0	2	0	0.0	0	0	1.0	2	0	10	12	10	0.048277753830479254	0.14498567335243553	0.04861111111111111	3	26
26	monteverdi_madrigals	5-14	1609.1691322587767	1605.0	d	i	4	-4	7	-10	6	-4	0.017964071856287425	2	0	3.3333333333333335	9	0	2.0	4	0	3.0	6	0	0.0	0	0	0.0	0	0	1.0	2	0	8	17	10	0.008184813804343974	0.21967526265520534	0.05555555555555555	3	27
