	Unnamed: 0	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	tones_in_span	tones_in_span_in_C	root	RC	ct	CTC	nct	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id	mode
0	0	peri_euridice	peri_euridice_scene_0	1600.0	1600	F	I	3.0	-2.0	5	-1	5	-2	[1, 4, 0]	[[-1], [3], [3], [-1], [3], [3], [3], [-1, 3], [-1, 0]]	0.0	0.0344827586206896	[4, 1]	0.0	[]	0.0344827586206896	5.0	6	7	1	1	major
1	1	peri_euridice	peri_euridice_scene_1	1600.0	1600	G	I	6.0	-4.0	7	-4	6	-4	[-1, 0, 1, 2, 4]	[[1], [5], [5], [5], [2], [3], [1], [5], [5], [2], [2], [0]]	0.0	0.0487012987012987	[4, 1]	0.474025974025974	[-1, 2]	0.0616883116883116	10.0	11	10	1	2	major
2	2	peri_euridice	peri_euridice_scene_2	1600.0	1600	G	I	7.0	-4.0	7	-6	11	-4	[0, 4]	[[1], [1], [1], [1], [1], [1], [5], [1], [5], [1], [5], [5], [1], [1]]	0.0	0.1511976047904191	[4, 1]	0.6317365269461078	[]	0.1317365269461078	11.0	13	15	1	3	major
3	3	peri_euridice	peri_euridice_scene_3	1600.0	1600	G	I	8.0	-4.0	9	-4	7	-4	[1, 2]	[[2], [2], [2], [2], [3], [3]]	1.0	0.0542372881355932	[5, 2]	0.5288135593220339	[]	0.047457627118644	12.0	13	11	1	4	major
4	4	peri_euridice	peri_euridice_scene_4	1600.0	1600	D	I	7.0	-4.0	8	-10	7	-3	[0, 1]	[[2], [3], [3], [3], [3], [3], [3], [2], [3], [3]]	0.0	0.1903367496339678	[4, 1]	1.171303074670571	[]	0.1449487554904831	11.0	18	10	1	5	major
5	5	peri_euridice	peri_euridice_scene_5	1600.0	1600	C	I	7.0	-4.0	9	-5	7	-4	[0, 4]	[[0], [4], [4], [4], [4], [4], [0], [4], [4], [0], [0], [0]]	0.0	0.1071428571428571	[4, 1]	0.3514285714285714	[]	0.0571428571428571	11.0	14	11	1	6	major
6	6	monteverdi_madrigals	2-12	1609.1691322587767	1590	F	I	5.0	-2.0	6	-2	5	-2	[1]	[[0], [0], [0], [0], [0], [0]]	1.0	0.0222222222222222	[5, 2]	0.0088888888888888	[]	0.0044444444444444	7.0	8	7	2	7	major
7	7	monteverdi_madrigals	3-09	1609.1691322587767	1592	F	I	6.0	-1.0	6	-1	6	-1	[1, 3, 4, 5, -1, 0]	[[-1], [-1], [-1], [-1], [4], [2], [0], [-2], [3]]	0.0	0.0105263157894736	[4, 1]	0.0052631578947368	[3, 5, -1]	0.0052631578947368	7.0	7	7	2	8	major
8	8	monteverdi_madrigals	3-11	1609.1691322587767	1592	F	I	6.0	-1.0	6	-1	6	-1	[1, 3, 4, 5, -1, 0]	[[-1], [-1], [-1], [-1], [4], [2], [0], [-2], [3]]	0.0	0.0105263157894736	[4, 1]	0.0052631578947368	[3, 5, -1]	0.0052631578947368	7.0	7	7	2	9	major
11	11	monteverdi_madrigals	5-01	1609.1691322587767	1605	G	I	6.0	-4.0	8	-3	6	-3	[0, 1, 4]	[[1, 2, 1, 5, 2]]	0.0	0.0625	[4, 1]	0.1534090909090909	[]	0.0113636363636363	10.0	11	9	2	12	major
30	30	monteverdi_madrigals	8-18	1609.1691322587767	1638	C	I	6.0	-5.0	6	-7	5	-4	[0]	[[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]	0.0	0.0508474576271186	[4, 1]	0.4779661016949152	[]	0.0101694915254237	11.0	13	9	2	31	major
32	32	monteverdi_madrigals	9-12	1609.1691322587767	1651	C	I	5.0	-4.0	5	-4	0	-4	[0, 4]	[[0, 0, 4, 0], [0, 0, 4, 0]]	0.0	0.0	[4, 1]	0.3076923076923077	[]	0.0	9.0	9	4	2	33	major
