	Unnamed: 0	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	RC	CTC	NCTC	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id	mode
9	9	monteverdi_madrigals	4-19	1609.1691322587767	1603	d	i	5	-4	6	-5	5	-4	0.081081081081081	0.6594594594594595	0.1297297297297297	9	11	9	2	10	minor
10	10	monteverdi_madrigals	4-20	1609.1691322587767	1603	d	i	5	-4	6	-5	5	-4	0.081081081081081	0.6594594594594595	0.1297297297297297	9	11	9	2	11	minor
12	12	monteverdi_madrigals	5-03	1609.1691322587767	1605	d	i	5	-4	8	-4	6	-4	0.0197368421052631	0.7368421052631579	0.1118421052631579	9	12	10	2	13	minor
13	13	monteverdi_madrigals	5-04a	1609.1691322587767	1605	g	i	5	-3	7	-4	6	-3	0.046875	0.703125	0.078125	8	11	9	2	14	minor
14	14	monteverdi_madrigals	5-04c	1609.1691322587767	1605	g	i	4	-4	5	-7	5	-4	0.019047619047619	0.6571428571428571	0.0476190476190476	8	12	9	2	15	minor
15	15	monteverdi_madrigals	5-04d	1609.1691322587767	1605	g	i	5	-4	5	-10	5	-4	0.096	0.592	0.184	9	15	9	2	16	minor
16	16	monteverdi_madrigals	5-04e	1609.1691322587767	1605	g	i	6	-4	5	-4	6	-4	0.0045662100456621	0.4748858447488584	0.0228310502283105	10	9	10	2	17	minor
17	17	monteverdi_madrigals	5-05b	1609.1691322587767	1605	g	i	5	-4	5	-4	6	-4	0.0408163265306122	0.6530612244897959	0.0918367346938775	9	9	10	2	18	minor
18	18	monteverdi_madrigals	5-05c	1609.1691322587767	1605	g	i	6	-4	8	-4	6	-4	0.1059602649006622	0.609271523178808	0.1390728476821192	10	12	10	2	19	minor
19	19	monteverdi_madrigals	5-06	1609.1691322587767	1605	g	i	4	-4	5	-7	5	-4	0.019047619047619	0.6571428571428571	0.0476190476190476	8	12	9	2	20	minor
20	20	monteverdi_madrigals	5-07	1609.1691322587767	1605	g	i	5	-4	5	-10	5	-4	0.096	0.592	0.184	9	15	9	2	21	minor
21	21	monteverdi_madrigals	5-08	1609.1691322587767	1605	g	i	6	-4	5	-4	6	-4	0.0045662100456621	0.4748858447488584	0.0228310502283105	10	9	10	2	22	minor
22	22	monteverdi_madrigals	5-09	1609.1691322587767	1605	d	i	5	-4	5	-10	5	-5	0.0718562874251497	0.7844311377245509	0.3892215568862275	9	15	10	2	23	minor
23	23	monteverdi_madrigals	5-10	1609.1691322587767	1605	g	i	5	-4	5	-4	6	-4	0.0408163265306122	0.6530612244897959	0.0918367346938775	9	9	10	2	24	minor
24	24	monteverdi_madrigals	5-11	1609.1691322587767	1605	g	i	6	-4	8	-4	6	-4	0.1059602649006622	0.609271523178808	0.1390728476821192	10	12	10	2	25	minor
25	25	monteverdi_madrigals	5-14	1609.1691322587767	1605	d	i	4	-4	7	-10	6	-4	0.0179640718562874	0.8682634730538922	0.2634730538922156	8	17	10	2	26	minor
26	26	monteverdi_madrigals	5-15	1609.1691322587767	1605	d	i	5	-4	5	-10	5	-5	0.0718562874251497	0.7844311377245509	0.3892215568862275	9	15	10	2	27	minor
27	27	monteverdi_madrigals	5-17	1609.1691322587767	1605	d	i	5	-4	6	-6	5	-4	0.0769230769230769	0.7211538461538461	0.2115384615384615	9	12	9	2	28	minor
28	28	monteverdi_madrigals	6-01a	1609.1691322587767	1614	d	i	5	-4	5	-7	5	-4	0.3012048192771084	1.2530120481927711	0.253012048192771	9	12	9	2	29	minor
29	29	monteverdi_madrigals	laudate_pueri_dominum	1609.1691322587767	1620	g	i	6	-4	7	-7	6	-4	0.0958549222797927	0.4067357512953368	0.116580310880829	10	14	10	2	30	minor
31	31	monteverdi_madrigals	8-19	1609.1691322587767	1638	a	i	6	-4	10	-4	8	-7	0.1209964412811387	0.6334519572953736	0.1743772241992882	10	14	15	2	32	minor
