	corpus	piece	quarterbeats	chord	chord_tones	root	tones_in_span	ct	nct	r_chromaticity	ct_chromaticity	nct_chromaticity
49340	bach_en_fr_suites	BWV808_04_Sarabande	0.0	i	[0, -3, 1]	0	[-1, 0, 1, 2, -3]	[-3, 1]	[-1, 0, 2]	0	0	0
49341	bach_en_fr_suites	BWV808_04_Sarabande	1.0	iio64	[-4, 2, -1]	2	[-1, 0, 2, -4, -3]	[-4, -1]	[0, 2, -3]	0	0	0
49342	bach_en_fr_suites	BWV808_04_Sarabande	4.0	#viio2	[-4, 5, 2, -1]	5	[-1, 0, 2, 5]	[-4, 2, -1]	[0, 5]	3	0	3
49343	bach_en_fr_suites	BWV808_04_Sarabande	6.0	iio64	[-4, 2, -1]	2	[-1, 0, 2, -4]	[-4, -1]	[0, 2]	0	0	0
49344	bach_en_fr_suites	BWV808_04_Sarabande	7.0	#viio43	[-1, -4, 5, 2]	5	[-1, 2, -4, 5]	[-1, -4, 2]	[5]	3	0	3
49345	bach_en_fr_suites	BWV808_04_Sarabande	8.0	V2	[-1, 1, 5, 2]	1	[-1, 1]	[-1, 5, 2]	[1]	0	3	0
49346	bach_en_fr_suites	BWV808_04_Sarabande	9.0	i	[0, -3, 1]	0	[0, 1, 2, 3, -2, -3]	[-3, 1]	[0, 2, 3, -2]	0	0	1
49347	bach_en_fr_suites	BWV808_04_Sarabande	13.0	V7/iv	[0, 4, 1, -2]	0	[0, 1, 4, -2]	[4, 1, -2]	[0]	0	2	0
49348	bach_en_fr_suites	BWV808_04_Sarabande	15.0	IV	[-1, 3, 0]	-1	[-1, 0, 1, 3, 5]	[3, 0]	[-1, 1, 5]	0	1	3
49349	bach_en_fr_suites	BWV808_04_Sarabande	16.0	ii%43	[-4, 0, 2, -1]	2	[-1, 0, 2, -4]	[-4, 0, -1]	[2]	0	0	0
49350	bach_en_fr_suites	BWV808_04_Sarabande	18.0	#viio2	[-4, 5, 2, -1]	5	[-1, 0, 2, 5, -4]	[-4, 2, -1]	[0, 5]	3	0	3
49351	bach_en_fr_suites	BWV808_04_Sarabande	19.0	viio43/V	[0, -3, 6, 3]	6	[0, 3, 5, 6, -3]	[0, -3, 3]	[5, 6]	4	1	7
49352	bach_en_fr_suites	BWV808_04_Sarabande	21.0	V	[1, 5, 2]	1	[1, 2]	[5, 2]	[1]	0	3	0
49353	bach_en_fr_suites	BWV808_04_Sarabande	21.5	V(#9#7)	[1, 5, 2]	1	[3, 6]	[5, 2, 3, 6]	[]	0	8	0
49354	bach_en_fr_suites	BWV808_04_Sarabande	22.0	V	[1, 5, 2]	1	[1, 2, 5]	[5, 2]	[1]	0	3	0
