chord	root	r_chromaticity	ct	ct_chromaticity
I	0	0	[4, 1]	2
I+	0	0	[4, 8]	8
i	0	0	[-3, 1]	0
io	0	0	[-3, -6]	2
I(#5)	0	0	[4, 8]	8
I(#2)	0	0	[9, 1]	7
I(4)	0	0	[-1, 1]	0
I(#64)	0	0	[-1, 1, 3]	1
I(64)	0	0	[-1, -4]	0
I(#6#4#2)	0	0	[9, 6, 3]	12
I(#64+2)	0	0	[-1, 1, 3, 2]	1
I(##64+2)	0	0	[-1, 1, 10, 2]	8
IM7	0	0	[4, 1, 5]	5
i(#7#3)	0	0	[4, 1, 5]	5
i7	0	0	[-3, 1, -2]	0
I7	0	0	[4, 1, -2]	2
V7/IV	0	0	[4, 1, -2]	2
IM7(#5)	0	0	[4, 8, 5]	11
i7(#5#3)	0	0	[4, 8, -2]	8
i7(#5)	0	0	[-3, 8, -2]	6
iM7(#2)	0	0	[9, 1, 5]	10
i7(#2)	0	0	[9, 1, -2]	7
i7(#4^2)	0	0	[2, 6, -2]	4
IM7(#4#2)	0	0	[9, 6, 5]	14
IM7(#4)	0	0	[4, 6, 5]	9
I7(#4)	0	0	[4, 6, -2]	6
i7(#4)	0	0	[-3, 6, -2]	4
i(#7#4)	0	0	[-3, 6, 5]	7
I(##6#4)	0	0	[4, 6, 10]	14
I(##6#4#2)	0	0	[9, 6, 10]	19
io7	0	0	[-3, -6, -9]	7
i%7	0	0	[-3, -6, -2]	2
