	corpus	piece	corpus_year	piece_year	globalkey	localkey	max_root	min_root	max_ct	min_ct	max_nct	min_nct	RC	CTC	NCTC	CTD	NCTD	r_fifths_range	ct_fifths_range	nct_fifths_range	corpus_id	piece_id
0	gastoldi_baletti	a5_10_Il_Premiato	1591.0	1591.0	G	I	5	-1	9	-3	3	-2	0.0	2.2	0.5	0.0	0.0	6	12	5	1	1
1	peri_euridice	peri_euridice_scene_0	1600.0	1600.0	F	I	3	-2	5	-1	5	-2	0.034482758620689655	0.0	0.5	0.0	0.0	5	6	7	2	2
2	peri_euridice	peri_euridice_scene_1	1600.0	1600.0	G	I	6	-4	7	-4	6	-4	0.048701298701298704	1.5	1.5	1.0	0.0	10	11	10	2	3
3	peri_euridice	peri_euridice_scene_2	1600.0	1600.0	G	I	7	-4	7	-6	11	-4	0.15119760479041916	3.0	2.6666666666666665	1.0	2.6666666666666665	11	13	15	2	4
4	peri_euridice	peri_euridice_scene_3	1600.0	1600.0	G	I	8	-4	9	-4	7	-4	0.05423728813559322	2.5	1.0	1.6666666666666667	0.0	12	13	11	2	5
5	peri_euridice	peri_euridice_scene_4	1600.0	1600.0	D	I	7	-4	8	-10	7	-4	0.1903367496339678	4.666666666666667	3.4285714285714284	4.0	1.0	11	18	11	2	6
6	peri_euridice	peri_euridice_scene_5	1600.0	1600.0	C	I	7	-4	9	-5	7	-4	0.10714285714285714	3.0	2.0	0.0	1.0	11	14	11	2	7
7	monteverdi_madrigals	2-12	1609.1691322587767	1590.0	F	I	5	-2	6	-2	5	-2	0.022222222222222223	0.5	0.5	0.0	0.0	7	8	7	3	8
8	monteverdi_madrigals	3-09	1609.1691322587767	1592.0	F	I	6	-1	6	-1	6	-1	0.010526315789473684	0.5	0.5	0.0	0.5	7	7	7	3	9
9	monteverdi_madrigals	3-11	1609.1691322587767	1592.0	F	I	6	-1	6	-1	6	-1	0.010526315789473684	0.5	0.5	0.0	0.5	7	7	7	3	10
10	monteverdi_madrigals	4-19	1609.1691322587767	1603.0	d	i	5	-4	6	-5	5	-4	0.08108108108108109	2.2	1.5	1.0	0.0	9	11	9	3	11
11	monteverdi_madrigals	4-20	1609.1691322587767	1603.0	d	i	5	-4	6	-5	5	-4	0.08108108108108109	2.2	1.5	1.0	0.0	9	11	9	3	12
12	monteverdi_madrigals	5-01	1609.1691322587767	1605.0	G	I	6	-4	8	-3	6	-4	0.0625	1.5	1.3333333333333333	1.0	0.5	10	11	10	3	13
13	monteverdi_madrigals	5-03	1609.1691322587767	1605.0	d	i	5	-4	8	-4	6	-4	0.019736842105263157	1.5	1.5	1.0	0.0	9	12	10	3	14
14	monteverdi_madrigals	5-04a	1609.1691322587767	1605.0	g	i	5	-3	7	-4	6	-3	0.046875	1.5	1.5	0.0	0.0	8	11	9	3	15
15	monteverdi_madrigals	5-04c	1609.1691322587767	1605.0	g	i	4	-4	5	-7	5	-4	0.01904761904761905	1.5	1.0	0.0	0.0	8	12	9	3	16
16	monteverdi_madrigals	5-04d	1609.1691322587767	1605.0	g	i	5	-4	5	-10	5	-4	0.096	3.0	2.25	1.0	0.0	9	15	9	3	17
17	monteverdi_madrigals	5-04e	1609.1691322587767	1605.0	g	i	6	-4	5	-4	6	-4	0.0045662100456621	1.5	0.5	0.0	0.0	10	9	10	3	18
18	monteverdi_madrigals	5-05b	1609.1691322587767	1605.0	g	i	5	-4	5	-4	6	-4	0.04081632653061224	1.5	2.0	0.0	0.0	9	9	10	3	19
19	monteverdi_madrigals	5-05c	1609.1691322587767	1605.0	g	i	6	-4	8	-4	6	-4	0.10596026490066225	2.2	1.75	1.0	0.0	10	12	10	3	20
20	monteverdi_madrigals	5-06	1609.1691322587767	1605.0	g	i	4	-4	5	-7	5	-4	0.01904761904761905	1.5	1.0	0.0	0.0	8	12	9	3	21
21	monteverdi_madrigals	5-07	1609.1691322587767	1605.0	g	i	5	-4	5	-10	5	-4	0.096	3.0	2.25	1.0	0.0	9	15	9	3	22
22	monteverdi_madrigals	5-08	1609.1691322587767	1605.0	g	i	6	-4	5	-4	6	-4	0.0045662100456621	1.5	0.5	0.0	0.0	10	9	10	3	23
23	monteverdi_madrigals	5-09	1609.1691322587767	1605.0	d	i	5	-4	5	-10	5	-5	0.0718562874251497	3.6666666666666665	2.5	1.5	0.5	9	15	10	3	24
24	monteverdi_madrigals	5-10	1609.1691322587767	1605.0	g	i	5	-4	5	-4	6	-4	0.04081632653061224	1.5	2.0	0.0	0.0	9	9	10	3	25
25	monteverdi_madrigals	5-11	1609.1691322587767	1605.0	g	i	6	-4	8	-4	6	-4	0.10596026490066225	2.2	1.75	1.0	0.0	10	12	10	3	26
26	monteverdi_madrigals	5-14	1609.1691322587767	1605.0	d	i	4	-4	7	-10	6	-4	0.017964071856287425	3.3333333333333335	2.0	0.0	0.0	8	17	10	3	27
27	monteverdi_madrigals	5-15	1609.1691322587767	1605.0	d	i	5	-4	5	-10	5	-5	0.0718562874251497	3.6666666666666665	2.5	1.5	0.5	9	15	10	3	28
28	monteverdi_madrigals	5-17	1609.1691322587767	1605.0	d	i	5	-4	6	-6	5	-4	0.07692307692307693	2.2	2.6	0.0	0.0	9	12	9	3	29
