	corpus	piece	quarterbeats	chord	chord_tones	root	tones_in_span	ct	nct	r_chromaticity	ct_chromaticity	nct_chromaticity
93873	mozart_piano_sonatas	K331-1	0.0	I	[0, 4, 1]	0	[-1, 0, 1, 2, 4]	[4, 1]	[-1, 0, 2]	0	0	0
93874	mozart_piano_sonatas	K331-1	1.5	I6	[4, 1, 0]	0	[1, 4]	[4, 1]	[]	0	0	0
93875	mozart_piano_sonatas	K331-1	3.0	V6	[5, 2, 1]	1	[0, 1, 2, 4, 5]	[5, 2]	[0, 1, 4]	0	0	0
93876	mozart_piano_sonatas	K331-1	4.5	V43	[2, -1, 1, 5]	1	[-1, 1, 2]	[2, -1, 5]	[1]	0	0	0
93877	mozart_piano_sonatas	K331-1	6.0	vi7	[3, 0, 4, 1]	3	[0, 1, 3]	[0, 4, 1]	[3]	0	0	0
93878	mozart_piano_sonatas	K331-1	7.5	V6	[5, 2, 1]	1	[5, 1, 2]	[5, 2]	[1]	0	0	0
93879	mozart_piano_sonatas	K331-1	9.0	I	[0, 4, 1]	0	[0, 1, 4]	[4, 1]	[0]	0	0	0
93880	mozart_piano_sonatas	K331-1	10.0	ii6	[-1, 3, 2]	2	[-1, 1, 2]	[-1, 3]	[1, 2]	0	0	0
93881	mozart_piano_sonatas	K331-1	10.5	V(64)	[1, 0, 4]	1	[0, 1, 4]	[0, 4]	[1]	0	0	0
93882	mozart_piano_sonatas	K331-1	11.5	V	[1, 5, 2]	1	[5, 2]	[5, 2]	[]	0	0	0
93883	mozart_piano_sonatas	K331-1	12.0	I	[0, 4, 1]	0	[-1, 0, 1, 2, 4]	[4, 1]	[-1, 0, 2]	0	0	0
93884	mozart_piano_sonatas	K331-1	13.5	I6	[4, 1, 0]	0	[1, 4]	[4, 1]	[]	0	0	0
93885	mozart_piano_sonatas	K331-1	15.0	V6	[5, 2, 1]	1	[0, 1, 2, 4, 5]	[5, 2]	[0, 1, 4]	0	0	0
93886	mozart_piano_sonatas	K331-1	16.5	V43	[2, -1, 1, 5]	1	[-1, 1, 2]	[2, -1, 5]	[1]	0	0	0
93887	mozart_piano_sonatas	K331-1	18.0	vi7	[3, 0, 4, 1]	3	[0, 1, 3]	[0, 4, 1]	[3]	0	0	0
93888	mozart_piano_sonatas	K331-1	19.0	V6	[5, 2, 1]	1	[5, 1, 2]	[5, 2]	[1]	0	0	0
93889	mozart_piano_sonatas	K331-1	19.5	I	[0, 4, 1]	0	[0, 1, 4]	[4, 1]	[0]	0	0	0
93890	mozart_piano_sonatas	K331-1	20.5	ii6	[-1, 3, 2]	2	[-1, 2, 3]	[-1, 3]	[2]	0	0	0
93891	mozart_piano_sonatas	K331-1	21.0	V(64)	[1, 0, 4]	1	[0, 1, 4]	[0, 4]	[1]	0	0	0
93892	mozart_piano_sonatas	K331-1	22.0	V7	[1, 5, 2, -1]	1	[5, -1, 1, 2]	[5, 2, -1]	[1]	0	0	0
93893	mozart_piano_sonatas	K331-1	22.5	I	[0, 4, 1]	0	[0, 1, 3, 4]	[4, 1]	[0, 3]	0	0	0
