	chord	root	r_chromaticity	ct	ct_chromaticity	nct	nct_chromaticity	version
94169	V43	1	0	[2, -1, 5]	0	[1, 4]	0	var6
94170	I6	0	0	[4, 1]	0	[3]	0	var6
94171	I	0	0	[4, 1]	0	[-1, 0]	0	var6
94172	V6	1	0	[5, 2]	0	[1, 4, 7]	2	var6
94173	I	0	0	[4, 1]	0	[0, 2]	0	var6
94174	V43	1	0	[2, -1, 5]	0	[1]	0	var6
94175	V2	1	0	[-1, 5, 2]	0	[1, 4]	0	var6
94176	I6	0	0	[4, 1]	0	[0, 5, 7]	2	var6
94177	V6	1	0	[5, 2]	0	[9, 1]	4	var6
94178	I	0	0	[4, 1]	0	[0]	0	var6
94179	ii6	2	0	[-1, 3]	0	[2]	0	var6
94180	V(64)	1	0	[0, 4]	0	[1]	0	var6
94181	V	1	0	[5, 2]	0	[]	0	var6
94182	I	0	0	[4, 1]	0	[-1, 0, 2, 3]	0	var6
94183	V	1	0	[5, 2]	0	[0, 1, 4]	0	var6
94184	V7	1	0	[5, 2, -1]	0	[1, 4]	0	var6
94185	vi	3	0	[0, 4]	0	[2, 3]	0	var6
94186	viio	5	0	[2, -1]	0	[5, 4]	0	var6
94187	I	0	0	[4, 1]	0	[0]	0	var6
94188	IV	-1	0	[3, 0]	0	[-1]	0	var6
94189	viio	5	0	[2, -1]	0	[5]	0	var6
94190	I	0	0	[4, 1]	0	[0]	0	var6
94191	vi	3	0	[0, 4]	0	[3]	0	var6
94192	ii6	2	0	[-1, 3]	0	[2]	0	var6
94193	V	1	0	[5, 2]	0	[1]	0	var6
94194	I	0	0	[4, 1]	0	[-1, 0, 2, 3, 5]	0	var6
